id,name,mpName,house,totalMPs,totalAllocated,totalExpenditure,utilizationPercentage,totalWorksCompleted,totalWorksRecommended,state
Sitting Rajya Sabha,Sitting Rajya Sabha,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,1,206563957.11,196418200.0,95.08832167433879,57,20,Nagaland
NAGALAND,NAGALAND,S SUPONGMEREN JAMIR,Lok Sabha,1,147000000.0,138150000.0,93.9795918367347,38,18,Nagaland
SIKKIM,SIKKIM,Indra Hang Subba,Lok Sabha,1,152003923.11,98023420.0,64.48742768899709,38,81,Sikkim
Sitting Rajya Sabha,Sitting Rajya Sabha,Shri Dorjee Tshering Lepcha (2024-30),Rajya Sabha,1,150170726.11,91921040.0,61.21102453261621,85,33,Sikkim
SHILLONG,SHILLONG,ANDREW J. SYNGKON,Lok Sabha,1,98000000.0,70505000.0,71.9438775510204,98,146,Meghalaya
TURA,TURA,SALENG A SANGMA,Lok Sabha,1,147000000.0,97120000.0,66.06802721088435,130,218,Meghalaya
Sitting Rajya Sabha,Sitting Rajya Sabha,Shri James Pangsang Kongkal Sangma (2026-32),Rajya Sabha,1,49000000.0,0.0,0.0,0,0,Meghalaya
MIZORAM,MIZORAM,RICHARD VANLALHMANGAIHA,Lok Sabha,1,147000000.0,96361729.0,65.55219659863945,134,132,Mizoram
Sitting Rajya Sabha,Sitting Rajya Sabha,Shri Khiangte Laltluangkima (2026-32),Rajya Sabha,1,24500000.0,0.0,0.0,0,0,Mizoram
ARUNACHAL EAST,ARUNACHAL EAST,Shri Tapir Gao,Lok Sabha,1,147000000.0,98534470.0,67.03025170068028,106,58,Arunachal Pradesh
ARUNACHAL WEST,ARUNACHAL WEST,Kiren Rijiju,Lok Sabha,1,147000000.0,87533016.0,59.5462693877551,114,17,Arunachal Pradesh
Sitting Rajya Sabha,Sitting Rajya Sabha,Shri Tai Tagak (2026-32),Rajya Sabha,1,49000000.0,0.0,0.0,0,0,Arunachal Pradesh
INNER MANIPUR,INNER MANIPUR,ANGOMCHA BIMOL AKOIJAM,Lok Sabha,1,147000000.0,93860392.0,63.85060680272109,21,29,Manipur
OUTER MANIPUR,OUTER MANIPUR,ALFRED KANNGAM S ARTHUR,Lok Sabha,1,147000000.0,84951963.0,57.79045102040816,15,20,Manipur
Sitting Rajya Sabha,Sitting Rajya Sabha,Smt. Adhikarimayum Sharda Devi (2026-32),Rajya Sabha,1,49000000.0,0.0,0.0,0,10,Manipur
SHAHJAHANPUR,SHAHJAHANPUR,Shri Arun Kumar Sagar ,Lok Sabha,1,147000000.0,138723000.0,94.36938775510204,4,3,Uttar Pradesh
MISRIKH,MISRIKH,Ashok Kumar Rawat,Lok Sabha,1,147000000.0,121139986.0,82.4081537414966,2,3,Uttar Pradesh
FARRUKHABAD,FARRUKHABAD,Mukesh Rajput,Lok Sabha,1,147000000.0,108417412.0,73.75334149659864,246,49,Uttar Pradesh
BASTI,BASTI,RAM PRASAD CHAUDHARY,Lok Sabha,1,204176957.11,148429426.0,72.69646296081976,37,146,Uttar Pradesh
BULANDSHAHR,BULANDSHAHR,Bhola Singh,Lok Sabha,1,147000000.0,101017522.0,68.71940272108844,142,148,Uttar Pradesh
HATHRAS,HATHRAS,ANOOP PRADHAN BALMIKI,Lok Sabha,1,147000000.0,97915147.0,66.60894353741497,69,37,Uttar Pradesh
AONLA,AONLA,NEERAJ MAURYA,Lok Sabha,1,147000000.0,97488644.0,66.31880544217688,17,19,Uttar Pradesh
FATEHPUR SIKRI,FATEHPUR SIKRI,Rajkumar Chahar ,Lok Sabha,1,147000000.0,96369831.0,65.5577081632653,45,5,Uttar Pradesh
