id,name,constituency,state,house,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completedWorksValue,inProgressPayments,paymentGapPercentage,completionRate,pendingWorks,unspentAmount,totalRecommendedAmount,name_hi,constituency_hi,state_hi
6a932b5bcd944524379edf3a,S SUPONGMEREN JAMIR,NAGALAND,Nagaland,Lok Sabha,147000000.0,138150000.0,93.9795918367347,38,18,88600000.0,49550000.0,35.86681143684401,67.85714285714286,-20,8850000.0,58400000.0,S SUPONGMEREN JAMIR,NAGALAND,Nagaland
6a932b5ecd944524379ee2ba,Smt. Darshana Singh (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196994373.87,174994106.0,88.83203238864154,31,16,139851228.0,35142878.0,20.082320943997967,65.95744680851064,-15,22000267.870000005,37012196.0,Smt. Darshana Singh (2022-28),Sitting Rajya Sabha,Uttar Pradesh
6a932b5ecd944524379ee23e,Shri Hardeep Singh Puri (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,226801049.11,180480217.2,79.57644724670823,278,137,112016608.2,68463608.99999999,37.934134866499924,66.98795180722892,-141,46320831.910000026,73217000.0,Shri Hardeep Singh Puri (2020-26),Sitting Rajya Sabha,Uttar Pradesh
6a932b5ecd944524379ee1f6,Dr. Faiyaz Ahmad (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,235263957.11,183753433.0,78.10522073046839,132,57,147781746.0,35971687.0,19.576062559876092,69.84126984126983,-75,51510524.110000014,75183100.0,Dr. Faiyaz Ahmad (2022-28),Sitting Rajya Sabha,Bihar
6a932b5bcd944524379edfbf,VIJAYLAKSHMI DEVI,SIWAN,Bihar,Lok Sabha,147000000.0,134748616.0,91.66572517006803,95,87,90543755.0,44204861.0,32.80542859156342,52.197802197802204,-8,12251384.0,54742200.0,VIJAYLAKSHMI DEVI,SIWAN,Bihar
6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Sitting Rajya Sabha,Nagaland,Rajya Sabha,206563957.11,196418200.0,95.08832167433879,57,20,144763000.0,51655200.0,26.298581292364965,74.02597402597402,-37,10145757.110000014,59408000.0,Smt. S. Phangnon Konyak (2022-28),Sitting Rajya Sabha,Nagaland
6a932b5ecd944524379ee2cd,Smt. Sangeeta Yadav (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,169940841.0,86.6762272397961,43,78,117219561.0,52721280.0,31.023313577693777,35.53719008264463,35,26123116.110000014,76512677.47,Smt. Sangeeta Yadav (2022-28),Sitting Rajya Sabha,Uttar Pradesh
6a932b5bcd944524379edf65,Shri Arun Kumar Sagar ,SHAHJAHANPUR,Uttar Pradesh,Lok Sabha,147000000.0,138723000.0,94.36938775510204,4,3,97143000.0,41580000.0,29.9734002292338,57.14285714285714,-1,8277000.0,48733200.0,Shri Arun Kumar Sagar ,SHAHJAHANPUR,Uttar Pradesh
6a932b5ecd944524379ee213,Prof. Ram Gopal Yadav (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,221271395.11,178725656.0,80.77214676174054,25,56,78745019.0,99980637.0,55.94084209152378,30.864197530864196,31,42545739.110000014,119864668.0,Prof. Ram Gopal Yadav (2020-26),Sitting Rajya Sabha,Uttar Pradesh
6a932b5ecd944524379ee221,Shri B.L. Verma (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,168937264.09,86.16436523068806,350,64,116682306.09,52254958.0,30.93157586129818,84.54106280193237,-286,27126693.02000001,68770238.0,Shri B.L. Verma (2020-26),Sitting Rajya Sabha,Uttar Pradesh
6a932b5bcd944524379edf97,Smt Veena Devi ,VAISHALI,Bihar,Lok Sabha,147000000.0,131108889.0,89.18972040816327,30,29,93983889.0,37125000.0,28.31615787698422,50.847457627118644,-1,15891111.0,52876790.0,Smt Veena Devi ,VAISHALI,Bihar
6a932b5ecd944524379ee255,Shri Khiru Mahto (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,235770091.81,183791258.0,77.95359309106594,171,6,179942987.0,3848271.0,2.093827008899411,96.61016949152543,-165,51978833.81,5956000.0,Shri Khiru Mahto (2022-28),Sitting Rajya Sabha,Bihar
6a932b5ecd944524379ee2d2,Smt. Sumitra Balmik (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,196063957.11,163767349.0,83.52751388574684,62,116,76039991.0,87727358.0,53.568283626548784,34.831460674157306,54,32296608.110000014,110531498.0,Smt. Sumitra Balmik (2022-28),Sitting Rajya Sabha,Madhya Pradesh
6a932b5ecd944524379ee2bb,Smt. Geeta alias Chandraprabha (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,169877016.35,86.64367426527659,210,37,161572422.35,8304594.0,4.888591863945814,85.02024291497976,-173,26186940.76000002,34491534.0,Smt. Geeta alias Chandraprabha (2020-26),Sitting Rajya Sabha,Uttar Pradesh
6a932b5ecd944524379ee2c7,Smt. Ranjeet Ranjan (2022-28),Sitting Rajya Sabha,Chhattisgarh,Rajya Sabha,246780257.87,185739464.0,75.26512274650618,160,121,131171025.0,54568439.0,29.379022543103712,56.93950177935944,-39,61040793.870000005,107917287.0,Smt. Ranjeet Ranjan (2022-28),Sitting Rajya Sabha,Chhattisgarh
6a932b5bcd944524379edde4,Ashok Kumar Rawat,MISRIKH,Uttar Pradesh,Lok Sabha,147000000.0,121139986.0,82.4081537414966,2,3,48614657.0,72525329.0,59.86902540999138,40.0,1,25860014.0,98162048.0,Ashok Kumar Rawat,MISRIKH,Uttar Pradesh
6a932b5ecd944524379ee294,Shri S. Kalyanasundaram (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,239763792.52,179863534.0,75.01697070669942,141,44,164924211.0,14939323.0,8.305920976733393,76.21621621621621,-97,59900258.52000001,72108664.0,Shri S. Kalyanasundaram (2022-28),Sitting Rajya Sabha,Tamil Nadu
