_id,mpName,house,state,constituency,allocatedAmount,totalExpenditure,completedWorksCount,utilizationPercentage
6a932b5bcd944524379ee01e,Dileshwar Kamait,Lok Sabha,Bihar,SUPAUL,55691994.0,55691994,48,100.0
6a932b5bcd944524379ee014,D Ravikumar,Lok Sabha,Tamil Nadu,VILUPPURAM,72417768.0,72417768,192,100.0
6a932b5bcd944524379ee09d,Ms Mahua Moitra(17th Lok Sabha),Lok Sabha,West Bengal,KRISHNANAGAR,44264088.0,44264088,27,100.0
6a932b5bcd944524379ee02b,Dr Mohammad Jawed (17th Lok Sabha),Lok Sabha,Bihar,KISHANGANJ,96394728.0,96394728,124,100.0
6a932b5bcd944524379ee0e6,Rajnath Singh(17th Lok Sabha),Lok Sabha,Uttar Pradesh,LUCKNOW,41255160.0,41255160,42,100.0
6a932b5ecd944524379ee1a2,Smt Riti Pathak (17th Lok Sabha),Lok Sabha,Madhya Pradesh,SIDHI,2229890.0,2229900,30,100.0
6a932b5ecd944524379ee1bf,Sunil Kumar Pintu,Lok Sabha,Bihar,SITAMARHI,96767761.0,96767761,179,100.0
6a932b5bcd944524379ee097,Mohammad Sadique(17th Lok Sabha),Lok Sabha,Punjab,FARIDKOT,70616907.0,70616601,222,99.99956667600863
6a932b5bcd944524379ee01b,Dhal Singh Bisen,Lok Sabha,Madhya Pradesh,BALAGHAT,48992666.9,48948355,303,99.90955401531735
6a932b5bcd944524379ee0e2,Rajesh Verma,Lok Sabha,Uttar Pradesh,SITAPUR,73563957.11,73457235,22,99.85492608854575
