constituency,state,projectCount,totalAmount
ADILABAD,Telangana,735,231332609.0
AGRA,Uttar Pradesh,146,195872433.0
AHMEDABAD EAST,Gujarat,357,180431414.0
AHMEDABAD WEST,Gujarat,284,146330751.0
AHMEDNAGAR,Maharashtra,159,171790089.0
AJMER,Rajasthan,357,191431440.0
AKBARPUR,Uttar Pradesh,235,181997700.0
AKOLA,Maharashtra,203,168480203.0
ALAPPUZHA,Kerala,157,162446204.0
ALATHUR,Kerala,605,228002955.24
ALIGARH,Uttar Pradesh,143,144861159.0
ALIPURDUARS,West Bengal,208,183907597.34
ALLAHABAD,Uttar Pradesh,860,173013781.0
ALMORA,Uttarakhand,1374,196612461.71
ALWAR,Rajasthan,149,145684184.97
AMALAPURAM,Andhra Pradesh,302,210222372.0
AMBALA,Haryana,157,125795208.0
AMBEDKAR NAGAR,Uttar Pradesh,351,205050374.0
AMETHI,Uttar Pradesh,124,173706512.0
AMRAVATI,Maharashtra,249,220784087.0
AMRELI,Gujarat,588,184856693.0
AMRITSAR,Punjab,412,156643307.6
AMROHA,Uttar Pradesh,432,197569276.0
ANAKAPALLE,Andhra Pradesh,164,170913007.0
ANAND,Gujarat,926,188191879.0
ANANDPUR SAHIB,Punjab,602,196735734.0
ANANTAPUR,Andhra Pradesh,359,264906164.0
ANANTNAG,Jammu And Kashmir,481,212399120.0
ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,69,160045561.0
AONLA,Uttar Pradesh,202,219716586.1
ARAKKONAM,Tamil Nadu,251,242280811.0
ARAKU,Andhra Pradesh,322,198711696.0
ARAMBAG,West Bengal,365,174809368.84
ARANI,Tamil Nadu,420,214505312.0
ARARIA,Bihar,106,230179034.0
ARRAH,Bihar,317,266553281.0
ARUNACHAL EAST,Arunachal Pradesh,297,231145508.0
ARUNACHAL WEST,Arunachal Pradesh,335,191476216.0
ASANSOL,West Bengal,108,152939401.0
ASKA,Odisha,378,120505182.0
ATTINGAL,Kerala,745,213066370.0
AURANGABAD,Bihar,536,248154345.0
AURANGABAD,Maharashtra,181,185914169.0
AZAMGARH,Uttar Pradesh,148,146935713.0
BADAUN,Uttar Pradesh,226,177723569.38
BAGALKOT,Karnataka,383,192035480.0
BAGHPAT,Uttar Pradesh,206,182657729.0
BAHARAMPUR,West Bengal,350,241469405.0
BAHRAICH,Uttar Pradesh,174,239409768.0
BALAGHAT,Madhya Pradesh,470,150174852.0
BALASORE,Odisha,628,134156688.0
BALLIA,Uttar Pradesh,411,216992193.0
BALURGHAT,West Bengal,546,155392320.8
BANASKANTHA,Gujarat,321,150543917.0
BANDA,Uttar Pradesh,625,199025651.66
BANGALORE CENTRAL,Karnataka,75,110995251.0
