work_id,_id,mp_id,mp_name,house,state,constituency,work_category,ida,work_description,recommendation_date,recommended_amount,status,has_payments,total_paid,payment_count,ls_term
308473,6a932bd4cd94452437a35dcc,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"The project aims to provide an effective drainage system for the proper disposal of surface and wastewater. The project will help prevent waterlogging, soil erosion, stagnant water, and damage to roads and residential areas, particularly during the monsoon season. The work will include site preparation, excavation, construction of the drainage channel, laying of suitable concrete structures, and provision of proper slope and outlets for smooth water flow.",2026-08-26T00:00:00.000Z,400000.0,recommended,False,0.0,0.0,
307733,6a932bd4cd94452437a35d73,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Construction of building will be suitable for  CT scan room, control room, patient preparation area, waiting space, reporting room, electrical and equipment-support infrastructure, and other essential facilities as per required medical and safety standards. The construction will ensure a safe, hygienic, accessible, and technically suitable environment for the installation and operation of the CT Scan equipment. This facility will reduce the need for patients to travel to other districts or state",2026-08-25T00:00:00.000Z,5100000.0,recommended,False,0.0,0.0,
302526,6a932bd4cd94452437a35af4,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA),"The proposed project aims to undertake large scale tree plantation to promote environmental conservation, improve green cover, and protect the local ecosystem. The project will include the procurement of suitable native and fruit-bearing saplings, site preparation, transportation, plantation, and installation of protective measures. Community members and local volunteers will be involved in planting and caring for the saplings. Regular watering, maintenance, and monitoring will be carried out.",2026-08-10T00:00:00.000Z,520000.0,recommended,False,0.0,0.0,
302520,6a932bd4cd94452437a35af3,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,WOKHA(Deputy Commissioner Wokha_IDA),"Construction of New fishery pond for the community at Baghty Town, Wokha district.",2026-08-10T00:00:00.000Z,312000.0,recommended,False,0.0,0.0,
297499,6a932bd4cd94452437a357b6,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),NA,2026-07-21T00:00:00.000Z,9500000.0,recommended,True,9500000.0,1.0,
286222,6a932bd4cd94452437a3503c,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"The project involves the plantation of various suitable tree species, including indigenous, fruit-bearing, and shade-providing trees, along with necessary activities such as site preparation, sapling procurement, plantation, and initial maintenance. The initiative will contribute towards improving air quality, reducing soil erosion, supporting biodiversity, and creating a greener landscape for future generations. The project reflects the commitment towards sustainable development and environment",2026-06-16T00:00:00.000Z,520000.0,recommended,True,320000.0,1.0,
286110,6a932bd4cd94452437a35020,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"The road maintenance work includes repair of damaged road portions, filling of potholes, surface improvement, and necessary restoration works to enhance the durability and usability of the road. Proper attention will also be given to maintaining water drainage and preventing further deterioration of the road during adverse weather conditions. The project aims to provide better connectivity, reduce travel difficulties, and improve access to essential services, markets, schools etc...",2026-06-16T00:00:00.000Z,520000.0,recommended,True,312000.0,1.0,
285812,6a932bd4cd94452437a34ffa,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"The construction of a Traditional Hall at Shangnyu Village is undertaken to provide a common community space for cultural activities, traditional gatherings, meetings, and social events. The project aims to preserve and promote local traditions while providing a suitable facility for the villagers. The work includes site preparation, foundation construction, erection of the hall structure, roofing, flooring, electrical installation. Traditional Hall will serve as an important community asset.",2026-06-16T00:00:00.000Z,3000000.0,recommended,True,1800000.0,1.0,
285838,6a932bd4cd94452437a34ffc,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"The Heritage Hall will stand as a symbol of cultural identity and community development, contributing to the preservation of heritage while meeting the growing needs of the people. The additional financial support will ensure that the project achieves its intended objectives and is to complete successfully for the long-term benefit of the community. The fund will be utilized for completing the remaining construction works, including structural finishing, electrical installations, interior works.",2026-06-16T00:00:00.000Z,3000000.0,recommended,True,3000000.0,1.0,
285801,6a932bd4cd94452437a34ff9,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"The completed water tank will enhance water availability and storage capacity for around 500 households in Shantham Ward, supporting improved sanitation, hygiene, and community welfare.. Construction of tank structure using suitable materials to ensure strength, durability, and water-tightness. Installation of inlet, outlet, overflow, and distribution arrangements. Plastering, waterproofing, and finishing works to maintain water quality and reduce leakage. Necessary pipeline connections.",2026-06-16T00:00:00.000Z,312000.0,recommended,True,187200.0,1.0,
