work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
135772.0,6a932bb5cd94452437a18059,Andhra Pradesh,Andhra Pradesh,KADAPA,KADAPA,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,980399.0,2025-05-11T00:00:00.000Z,2025.0,0.0,"Completion of Incomplete community Hall in 4th ward in Vempalli (V &M), YSR District.","Completion of Incomplete community Hall in 4th ward in Vempalli (V &M), YSR District.",,Y S Avinash Reddy,,KADAPA,Completed,980399,2025-05-11T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
138858.0,6a932bb5cd94452437a1d532,Andhra Pradesh,Andhra Pradesh,AMALAPURAM,AMALAPURAM,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Normal/Others,Normal/Others,3507771.0,2026-02-27T00:00:00.000Z,2026.0,0.0,Construction of OC Community hall at Machara,Construction of OC Community hall at Machara,,GM Harish Balayogi,,AMALAPURAM,Completed,3507771,2026-02-27T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
157521.0,6a932bb5cd94452437a193fe,Andhra Pradesh,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Normal/Others,Normal/Others,481796.0,2025-07-28T00:00:00.000Z,2025.0,0.0,Construction of Community Hall at Appajipeta village of  Pamidi Mandal,Construction of Community Hall at Appajipeta village of  Pamidi Mandal,,AMBICA G LAKSHMINARAYANA VALMIKI,,ANANTAPUR,Completed,481796,2025-07-28T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
147047.0,6a932bb5cd94452437a1cf31,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,1499728.0,2026-02-12T00:00:00.000Z,2026.0,0.0,Construction of Community Hall in Ramasamudram (V&G.P),Construction of Community Hall in Ramasamudram (V&G.P),,Midhun Reddy,,RAJAMPET,Completed,1499728,2026-02-12T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
168686.0,6a932bb5cd94452437a19d45,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,499598.0,2026-04-22T00:00:00.000Z,2026.0,0.0,Construction of Community Hall at Lollaputtuga Village of B.G.Puttuga GP of Kacviti mandal,Construction of Community Hall at Lollaputtuga Village of B.G.Puttuga GP of Kacviti mandal,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,499598,2026-04-22T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
168690.0,6a932bb5cd94452437a1b02a,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,471605.0,2025-10-25T00:00:00.000Z,2025.0,0.0,Construction of Community Hall at Gokarnapuram village and GP of Kanchili mandal,Construction of Community Hall at Gokarnapuram village and GP of Kanchili mandal,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,471605,2025-10-25T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
168701.0,6a932bb5cd94452437a1c62b,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,490311.0,2026-04-13T00:00:00.000Z,2026.0,0.0,Construction of Community Hall at RH Colony of Loddaputti Village and GP of Ichapuram mandal,Construction of Community Hall at RH Colony of Loddaputti Village and GP of Ichapuram mandal,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,490311,2026-04-13T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
157521.0,6a932bb5cd94452437a193fe,Andhra Pradesh,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Normal/Others,Normal/Others,481796.0,2025-07-28T00:00:00.000Z,2025.0,0.0,Construction of Community Hall at Appajipeta village of  Pamidi Mandal,Construction of Community Hall at Appajipeta village of  Pamidi Mandal,,AMBICA G LAKSHMINARAYANA VALMIKI,,ANANTAPUR,Completed,481796,2025-07-28T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
168690.0,6a932bb5cd94452437a1b02a,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,471605.0,2025-10-25T00:00:00.000Z,2025.0,0.0,Construction of Community Hall at Gokarnapuram village and GP of Kanchili mandal,Construction of Community Hall at Gokarnapuram village and GP of Kanchili mandal,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,471605,2025-10-25T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
168701.0,6a932bb5cd94452437a1c62b,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,490311.0,2026-04-13T00:00:00.000Z,2026.0,0.0,Construction of Community Hall at RH Colony of Loddaputti Village and GP of Ichapuram mandal,Construction of Community Hall at RH Colony of Loddaputti Village and GP of Ichapuram mandal,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,490311,2026-04-13T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
157521.0,6a932bb5cd94452437a193fe,Andhra Pradesh,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Normal/Others,Normal/Others,481796.0,2025-07-28T00:00:00.000Z,2025.0,0.0,Construction of Community Hall at Appajipeta village of  Pamidi Mandal,Construction of Community Hall at Appajipeta village of  Pamidi Mandal,,AMBICA G LAKSHMINARAYANA VALMIKI,,ANANTAPUR,Completed,481796,2025-07-28T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
172277.0,6a932bb5cd94452437a1d39a,Andhra Pradesh,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Normal/Others,Normal/Others,475150.0,2026-02-21T00:00:00.000Z,2026.0,0.0,"Construction of Compound Wall to Community Hall at Mamuduru (V), Gooty (M)","Construction of Compound Wall to Community Hall at Mamuduru (V), Gooty (M)",,AMBICA G LAKSHMINARAYANA VALMIKI,,ANANTAPUR,Completed,475150,2026-02-21T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
172286.0,6a932bb5cd94452437a18568,Andhra Pradesh,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Repair and Renovation,Repair and Renovation,500000.0,2025-06-10T00:00:00.000Z,2025.0,0.0,"Providing Roof slab to Community Hall at 39th Division, Anantapur","Providing Roof slab to Community Hall at 39th Division, Anantapur",,AMBICA G LAKSHMINARAYANA VALMIKI,,ANANTAPUR,Completed,500000,2025-06-10T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
