work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
163103.0,6a932bb5cd94452437a18774,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,372000.0,2025-06-18T00:00:00.000Z,2025.0,0.0,"Providing 36W LED Street Lights 80 Nos in Gonti Gram Panchayat Limits, Gara mandal","Providing 36W LED Street Lights 80 Nos in Gonti Gram Panchayat Limits, Gara mandal",,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,372000,2025-06-18T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
152617.0,6a932bb5cd94452437a1b3f4,Andhra Pradesh,Andhra Pradesh,HINDUPUR,HINDUPUR,Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),Normal/Others,Normal/Others,397179.0,2025-11-10T00:00:00.000Z,2025.0,0.0,providing led bulbs in the public places in Puttaparthi municipality in all the 20 wards,providing led bulbs in the public places in Puttaparthi municipality in all the 20 wards,,B K PARTHASARATHI,,HINDUPUR,Completed,397179,2025-11-10T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
169800.0,6a932bb5cd94452437a1b7e8,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,1386007.0,2025-11-21T00:00:00.000Z,2025.0,0.0,Providing Electrical Line and Poles in Theemara Panchayat Limits of Pathapatnam mandal,Providing Electrical Line and Poles in Theemara Panchayat Limits of Pathapatnam mandal,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,1386007,2025-11-21T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
215294.0,6a932bb5cd94452437a19f65,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,90000.0,2025-09-04T00:00:00.000Z,2025.0,0.0,"Providing Motorised Try Electric Scooter to Y Ramakrishna Reddy, Pyarampalli Village Contact Number 9490842706 ( BMR Group Electric Scooter)","Providing Motorised Try Electric Scooter to Y Ramakrishna Reddy, Pyarampalli Village Contact Number 9490842706 ( BMR Group Electric Scooter)",,Midhun Reddy,,RAJAMPET,Completed,90000,2025-09-04T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
152617.0,6a932bb5cd94452437a1b3f4,Andhra Pradesh,Andhra Pradesh,HINDUPUR,HINDUPUR,Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),Normal/Others,Normal/Others,397179.0,2025-11-10T00:00:00.000Z,2025.0,0.0,providing led bulbs in the public places in Puttaparthi municipality in all the 20 wards,providing led bulbs in the public places in Puttaparthi municipality in all the 20 wards,,B K PARTHASARATHI,,HINDUPUR,Completed,397179,2025-11-10T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
169800.0,6a932bb5cd94452437a1b7e8,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,1386007.0,2025-11-21T00:00:00.000Z,2025.0,0.0,Providing Electrical Line and Poles in Theemara Panchayat Limits of Pathapatnam mandal,Providing Electrical Line and Poles in Theemara Panchayat Limits of Pathapatnam mandal,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,1386007,2025-11-21T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
163196.0,6a932bb5cd94452437a1813d,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,350000.0,2025-05-19T00:00:00.000Z,2025.0,0.0,Shifting of Electrical Poles in Pinnintipeta and Rahimanpuram villages limits of Polaki mandal,Shifting of Electrical Poles in Pinnintipeta and Rahimanpuram villages limits of Polaki mandal,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,350000,2025-05-19T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
163201.0,6a932bb5cd94452437a1b5c7,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,412744.0,2025-11-14T00:00:00.000Z,2025.0,0.0,"Shifting of Electrical Poles in Allada village limits, Jalumuru mandal","Shifting of Electrical Poles in Allada village limits, Jalumuru mandal",,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,412744,2025-11-14T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
163204.0,6a932bb5cd94452437a1b5c9,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,282194.0,2025-11-14T00:00:00.000Z,2025.0,0.0,"Shifting of Electrical Poles in Bhadri village limits, Saravakota mandal","Shifting of Electrical Poles in Bhadri village limits, Saravakota mandal",,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,282194,2025-11-14T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
163209.0,6a932bb5cd94452437a1b5cc,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,540203.0,2025-11-14T00:00:00.000Z,2025.0,0.0,"Shifting of Electrical Poles in Budithi village Limits, Saravakota mandal","Shifting of Electrical Poles in Budithi village Limits, Saravakota mandal",,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM,Completed,540203,2025-11-14T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
