work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
161803.0,6a932bb5cd94452437a1ba79,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Normal/Others,Normal/Others,498400.0,2025-12-02T00:00:00.000Z,2025.0,0.0,"Arrangement of operation theater Equipment (Operation Table,Diathermy machine,Multipara Monitor,Suction Apparatus and Manual Bp Apparatus)for Govt,General Hospital,Nandyal in Nandyal Dist.","Arrangement of operation theater Equipment (Operation Table,Diathermy machine,Multipara Monitor,Suction Apparatus and Manual Bp Apparatus)for Govt,General Hospital,Nandyal in Nandyal Dist.",,DR BYREDDY SHABARI,,NANDYAL,Completed,498400,2025-12-02T00:00:00.000Z,,,,,,,,,,,,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
163093.0,6a932bb5cd94452437a17f8d,Andhra Pradesh,Andhra Pradesh,AMALAPURAM,AMALAPURAM,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Normal/Others,Normal/Others,1010000.0,2025-05-07T00:00:00.000Z,2025.0,0.0,Purchase of Mortuary Van (Hearse Van) for CHC Kothapeta,Purchase of Mortuary Van (Hearse Van) for CHC Kothapeta,,GM Harish Balayogi,,AMALAPURAM,Completed,1010000,2025-05-07T00:00:00.000Z,,,,,,,,,,,,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
172290.0,6a932bb5cd94452437a18580,Andhra Pradesh,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Repair and Renovation,Repair and Renovation,884235.0,2025-06-10T00:00:00.000Z,2025.0,0.0,"Repair and Renovation to the existing room opposite SNCU Govt.General Hospital, Anantapur (To create Mothers Milk Bank)","Repair and Renovation to the existing room opposite SNCU Govt.General Hospital, Anantapur (To create Mothers Milk Bank)",,AMBICA G LAKSHMINARAYANA VALMIKI,,ANANTAPUR,Completed,884235,2025-06-10T00:00:00.000Z,,,,,,,,,,,,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
197611.0,6a932bb5cd94452437a1c2a3,Andhra Pradesh,Andhra Pradesh,ARAKU,ARAKU,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Repair and Renovation,Repair and Renovation,816519.0,2026-01-06T00:00:00.000Z,2026.0,0.0,"Providing Paintings, Gym Equipment and Improvements to Indore Stadium at Talarisingi Village of Paderu Mandal, ASR dist","Providing Paintings, Gym Equipment and Improvements to Indore Stadium at Talarisingi Village of Paderu Mandal, ASR dist",,Gumma Thanuja Rani,,ARAKU,Completed,816519,2026-01-06T00:00:00.000Z,,,,,,,,,,,,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
222962.0,6a932bb5cd94452437a1ccfb,Andhra Pradesh,Andhra Pradesh,ELURU,ELURU,Eluru(DISTRICT COLLECTOR ELURU_IDA),Eluru(DISTRICT COLLECTOR ELURU_IDA),Normal/Others,Normal/Others,350000.0,2026-02-03T00:00:00.000Z,2026.0,0.0,Providing 2 Body Coolers for Forensic Department in Area Hospital Nuzividu in Eluru District,Providing 2 Body Coolers for Forensic Department in Area Hospital Nuzividu in Eluru District,,Putta Mahesh Kumar,,ELURU,Completed,350000,2026-02-03T00:00:00.000Z,,,,,,,,,,,,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
172290.0,6a932bb5cd94452437a18580,Andhra Pradesh,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Repair and Renovation,Repair and Renovation,884235.0,2025-06-10T00:00:00.000Z,2025.0,0.0,"Repair and Renovation to the existing room opposite SNCU Govt.General Hospital, Anantapur (To create Mothers Milk Bank)","Repair and Renovation to the existing room opposite SNCU Govt.General Hospital, Anantapur (To create Mothers Milk Bank)",,AMBICA G LAKSHMINARAYANA VALMIKI,,ANANTAPUR,Completed,884235,2025-06-10T00:00:00.000Z,,,,,,,,,,,,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
161803.0,6a932bb5cd94452437a1ba79,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Normal/Others,Normal/Others,498400.0,2025-12-02T00:00:00.000Z,2025.0,0.0,"Arrangement of operation theater Equipment (Operation Table,Diathermy machine,Multipara Monitor,Suction Apparatus and Manual Bp Apparatus)for Govt,General Hospital,Nandyal in Nandyal Dist.","Arrangement of operation theater Equipment (Operation Table,Diathermy machine,Multipara Monitor,Suction Apparatus and Manual Bp Apparatus)for Govt,General Hospital,Nandyal in Nandyal Dist.",,DR BYREDDY SHABARI,,NANDYAL,Completed,498400,2025-12-02T00:00:00.000Z,,,,,,,,,,,,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
263509.0,6a932bb5cd94452437a1d64c,Andhra Pradesh,Andhra Pradesh,ELURU,ELURU,Eluru(DISTRICT COLLECTOR ELURU_IDA),Eluru(DISTRICT COLLECTOR ELURU_IDA),Normal/Others,Normal/Others,2276065.0,2026-03-16T00:00:00.000Z,2026.0,0.0,Providing one (1) BLS Ambulance Equipped with Basic Life Support facilities to the Govt General Hospital Eluru,Providing one (1) BLS Ambulance Equipped with Basic Life Support facilities to the Govt General Hospital Eluru,,Putta Mahesh Kumar,,ELURU,Completed,2276065,2026-03-16T00:00:00.000Z,,,,,,,,,,,,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
163093.0,6a932bb5cd94452437a17f8d,Andhra Pradesh,Andhra Pradesh,AMALAPURAM,AMALAPURAM,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Normal/Others,Normal/Others,1010000.0,2025-05-07T00:00:00.000Z,2025.0,0.0,Purchase of Mortuary Van (Hearse Van) for CHC Kothapeta,Purchase of Mortuary Van (Hearse Van) for CHC Kothapeta,,GM Harish Balayogi,,AMALAPURAM,Completed,1010000,2025-05-07T00:00:00.000Z,,,,,,,,,,,,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
242876.0,6a932bb5cd94452437a1c46b,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,6300000.0,2026-01-08T00:00:00.000Z,2026.0,0.0,"I wish to inform that the Government of Andhra Pradesh is conducting Swatch Andhra Swarna Andhra programme in all rural areas and door-to-door garbage collection is all the Gram Panchayats.  In this connection, some of the public representatives from the following Gram Panchayats have requested to provide e-autos to the Gram Panchayats for better performing of sanitation activities in villages.","I wish to inform that the Government of Andhra Pradesh is conducting Swatch Andhra Swarna Andhra programme in all rural areas and door-to-door garbage collection is all the Gram Panchayats.  In this connection, some of the public representatives from the following Gram Panchayats have requested to provide e-autos to the Gram Panchayats for better performing of sanitation activities in villages.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,6300000,2026-01-08T00:00:00.000Z,,,,,,,,,,,,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
