work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
135773.0,6a932bb5cd94452437a1af48,Andhra Pradesh,Andhra Pradesh,KADAPA,KADAPA,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,391781.0,2025-10-18T00:00:00.000Z,2025.0,0.0,"Replacement of old Pump set with accessaries and Pipe line near OHSR tank at Chinnakudala (V) of Lingal Mandal, YSR District.","Replacement of old Pump set with accessaries and Pipe line near OHSR tank at Chinnakudala (V) of Lingal Mandal, YSR District.",,Y S Avinash Reddy,,KADAPA,Completed,391781,2025-10-18T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
157649.0,6a932bb5cd94452437a1814e,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,83205.0,2025-05-20T00:00:00.000Z,2025.0,0.0,"Providing Motor, Pump Set & Sintex Tank in Dasuravandlapalli (V), Prakash Nagar Colony G.P","Providing Motor, Pump Set & Sintex Tank in Dasuravandlapalli (V), Prakash Nagar Colony G.P",,Midhun Reddy,,RAJAMPET,Completed,83205,2025-05-20T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
143789.0,6a932bb5cd94452437a19484,Andhra Pradesh,Andhra Pradesh,KADAPA,KADAPA,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,478000.0,2025-07-31T00:00:00.000Z,2025.0,0.0,"Formation and Strengthening of R/s Embankment (bund) from Km.1.700km to 2.700 Km of No.2 Distributory of chapadu channel near Pallavolu (V),of Chapadu(M) of YSR District","Formation and Strengthening of R/s Embankment (bund) from Km.1.700km to 2.700 Km of No.2 Distributory of chapadu channel near Pallavolu (V),of Chapadu(M) of YSR District",,Y S Avinash Reddy,,KADAPA,Completed,478000,2025-07-31T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
162479.0,6a932bb5cd94452437a1ca24,Andhra Pradesh,Andhra Pradesh,GUNTUR,GUNTUR,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),Normal/Others,Normal/Others,905074.0,2026-03-06T00:00:00.000Z,2026.0,0.0,Construction of retaining wall near Gangamma Talli temple area in Tadiboinavaripalem(H) in Chukkalapallivaripalem(V) of Duggirala(M),Construction of retaining wall near Gangamma Talli temple area in Tadiboinavaripalem(H) in Chukkalapallivaripalem(V) of Duggirala(M),,Dr Chandra Sekhar Pemmasani,,GUNTUR,Completed,905074,2026-03-06T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
147338.0,6a932bb5cd94452437a1d9a3,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,435985.0,2026-03-17T00:00:00.000Z,2026.0,0.0,"Construction of rear side sluice cystran of Mannasamudram tank near Mannasamudram Village, Yerpedu Mandal.","Construction of rear side sluice cystran of Mannasamudram tank near Mannasamudram Village, Yerpedu Mandal.",,Maddila Gurumoorthy,,TIRUPATI,Completed,435985,2026-03-17T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
157649.0,6a932bb5cd94452437a1814e,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,83205.0,2025-05-20T00:00:00.000Z,2025.0,0.0,"Providing Motor, Pump Set & Sintex Tank in Dasuravandlapalli (V), Prakash Nagar Colony G.P","Providing Motor, Pump Set & Sintex Tank in Dasuravandlapalli (V), Prakash Nagar Colony G.P",,Midhun Reddy,,RAJAMPET,Completed,83205,2025-05-20T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
198061.0,6a932bb5cd94452437a1e16b,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,123106.0,2026-04-23T00:00:00.000Z,2026.0,0.0,"Providing pipe line from pws scheme to OHSR tank at Bodipativaripalle, Bodipativari palle","Providing pipe line from pws scheme to OHSR tank at Bodipativaripalle, Bodipativari palle",,Midhun Reddy,,RAJAMPET,Completed,123106,2026-04-23T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
198063.0,6a932bb5cd94452437a1cbce,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,44551.0,2026-02-04T00:00:00.000Z,2026.0,0.0,"Providing pipe line from pws scheme to OHSR tank RC Puram colony, Bommaihgari palle","Providing pipe line from pws scheme to OHSR tank RC Puram colony, Bommaihgari palle",,Midhun Reddy,,RAJAMPET,Completed,44551,2026-02-04T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
231960.0,6a932bb5cd94452437a1d911,Andhra Pradesh,Andhra Pradesh,AMALAPURAM,AMALAPURAM,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Normal/Others,Normal/Others,449853.0,2026-03-13T00:00:00.000Z,2026.0,0.0,CONSTRUCTION OF RETAINING WALL AT SRI KANAKA DURGAMMA TEMPLE,CONSTRUCTION OF RETAINING WALL AT SRI KANAKA DURGAMMA TEMPLE,,GM Harish Balayogi,,AMALAPURAM,Completed,449853,2026-03-13T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
231967.0,6a932bb5cd94452437a1d910,Andhra Pradesh,Andhra Pradesh,AMALAPURAM,AMALAPURAM,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Normal/Others,Normal/Others,488452.0,2026-03-13T00:00:00.000Z,2026.0,0.0,CONSTRUCTION OF RETAINING WALL AT AMBEDKAR STATUE,CONSTRUCTION OF RETAINING WALL AT AMBEDKAR STATUE,,GM Harish Balayogi,,AMALAPURAM,Completed,488452,2026-03-13T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
