work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
141509.0,6a932bb5cd94452437a16e0f,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,498182.0,2025-01-20T00:00:00.000Z,2025.0,0.0,"Painting of Z.P.H.S. Bangareddipalli Village, Diguvamasapalle G.P., Chittoor Rural Mandal.","Painting of Z.P.H.S. Bangareddipalli Village, Diguvamasapalle G.P., Chittoor Rural Mandal.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,498182,2025-01-20T00:00:00.000Z,,,,,,,,,,,,"Repair, Renovation & Maintenance",General Development & Maintenance
152583.0,6a932bb5cd94452437a1b15e,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,424650.0,2025-10-28T00:00:00.000Z,2025.0,0.0,"Restoration of Cheyyuru River Near Aswathamarami Reddy fields in Rachapalli (V), Mandaram (G.P)","Restoration of Cheyyuru River Near Aswathamarami Reddy fields in Rachapalli (V), Mandaram (G.P)",,Midhun Reddy,,RAJAMPET,Completed,424650,2025-10-28T00:00:00.000Z,,,,,,,,,,,,"Repair, Renovation & Maintenance",General Development & Maintenance
141509.0,6a932bb5cd94452437a16e0f,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,498182.0,2025-01-20T00:00:00.000Z,2025.0,0.0,"Painting of Z.P.H.S. Bangareddipalli Village, Diguvamasapalle G.P., Chittoor Rural Mandal.","Painting of Z.P.H.S. Bangareddipalli Village, Diguvamasapalle G.P., Chittoor Rural Mandal.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,498182,2025-01-20T00:00:00.000Z,,,,,,,,,,,,"Repair, Renovation & Maintenance",General Development & Maintenance
194392.0,6a932bb5cd94452437a19a6a,Andhra Pradesh,Andhra Pradesh,KURNOOL,KURNOOL,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),Repair and Renovation,Repair and Renovation,499943.0,2025-10-14T00:00:00.000Z,2025.0,0.0,"Repairs and Renovation at Girls Hostel, Kurnool","Repairs and Renovation at Girls Hostel, Kurnool",,BASTIPATI NAGARAJU PANCHALINGALA,,KURNOOL,Completed,499943,2025-10-14T00:00:00.000Z,,,,,,,,,,,,"Repair, Renovation & Maintenance",General Development & Maintenance
194398.0,6a932bb5cd94452437a1b5c4,Andhra Pradesh,Andhra Pradesh,KURNOOL,KURNOOL,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),Repair and Renovation,Repair and Renovation,499989.0,2025-12-12T00:00:00.000Z,2025.0,0.0,"Repairs and Renovation at Boys Hostel, C. Belagal, C.Belagal Mandal, Kodumur Constituency","Repairs and Renovation at Boys Hostel, C. Belagal, C.Belagal Mandal, Kodumur Constituency",,BASTIPATI NAGARAJU PANCHALINGALA,,KURNOOL,Completed,499989,2025-12-12T00:00:00.000Z,,,,,,,,,,,,"Repair, Renovation & Maintenance",General Development & Maintenance
194409.0,6a932bb5cd94452437a1a280,Andhra Pradesh,Andhra Pradesh,KURNOOL,KURNOOL,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),Repair and Renovation,Repair and Renovation,499557.0,2025-11-13T00:00:00.000Z,2025.0,0.0,"Repairs and Renovation at Boys Hostel, Laddarigi No.2, Kodumur Mandal, Kodumur Constituency","Repairs and Renovation at Boys Hostel, Laddarigi No.2, Kodumur Mandal, Kodumur Constituency",,BASTIPATI NAGARAJU PANCHALINGALA,,KURNOOL,Completed,499557,2025-11-13T00:00:00.000Z,,,,,,,,,,,,"Repair, Renovation & Maintenance",General Development & Maintenance
194418.0,6a932bb5cd94452437a1940a,Andhra Pradesh,Andhra Pradesh,KURNOOL,KURNOOL,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),Repair and Renovation,Repair and Renovation,500000.0,2025-08-21T00:00:00.000Z,2025.0,0.0,"Repairs and Renovation at Girls Hostel, Kodumur, Kodumur Mandal, Kodumur Constituency","Repairs and Renovation at Girls Hostel, Kodumur, Kodumur Mandal, Kodumur Constituency",,BASTIPATI NAGARAJU PANCHALINGALA,,KURNOOL,Completed,500000,2025-08-21T00:00:00.000Z,,,,,,,,,,,,"Repair, Renovation & Maintenance",General Development & Maintenance
194456.0,6a932bb5cd94452437a1c1cf,Andhra Pradesh,Andhra Pradesh,KURNOOL,KURNOOL,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),Repair and Renovation,Repair and Renovation,499989.0,2026-01-09T00:00:00.000Z,2026.0,0.0,"Repairs and Renovation at Boys Hostel, Maddikera, Maddikera Mandal, Pattikonda Constituency","Repairs and Renovation at Boys Hostel, Maddikera, Maddikera Mandal, Pattikonda Constituency",,BASTIPATI NAGARAJU PANCHALINGALA,,KURNOOL,Completed,499989,2026-01-09T00:00:00.000Z,,,,,,,,,,,,"Repair, Renovation & Maintenance",General Development & Maintenance
141509.0,6a932bb5cd94452437a16e0f,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,498182.0,2025-01-20T00:00:00.000Z,2025.0,0.0,"Painting of Z.P.H.S. Bangareddipalli Village, Diguvamasapalle G.P., Chittoor Rural Mandal.","Painting of Z.P.H.S. Bangareddipalli Village, Diguvamasapalle G.P., Chittoor Rural Mandal.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,498182,2025-01-20T00:00:00.000Z,,,,,,,,,,,,"Repair, Renovation & Maintenance",General Development & Maintenance
141509.0,6a932bb5cd94452437a16e0f,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,498182.0,2025-01-20T00:00:00.000Z,2025.0,0.0,"Painting of Z.P.H.S. Bangareddipalli Village, Diguvamasapalle G.P., Chittoor Rural Mandal.","Painting of Z.P.H.S. Bangareddipalli Village, Diguvamasapalle G.P., Chittoor Rural Mandal.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,498182,2025-01-20T00:00:00.000Z,,,,,,,,,,,,"Repair, Renovation & Maintenance",General Development & Maintenance
