work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
136205.0,6a932bb5cd94452437a16a66,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,469820.0,2025-01-20T00:00:00.000Z,2025.0,0.0,Upgradation of Existing CC Road from Shivalayam to Library in Kamma Street in Penumuru Village and Mandal of GD Nelloore Constituency.,Upgradation of Existing CC Road from Shivalayam to Library in Kamma Street in Penumuru Village and Mandal of GD Nelloore Constituency.,,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,469820,2025-01-20T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
136186.0,6a932bb5cd94452437a16971,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,497570.0,2024-11-30T00:00:00.000Z,2024.0,0.0,Construction of CC Road Mangunta Anganwadi School to Mangunta New Colony via Nehru House in Mangunta Village and GP of SR Puram Mandal of GD Nelloore Constituency.,Construction of CC Road Mangunta Anganwadi School to Mangunta New Colony via Nehru House in Mangunta Village and GP of SR Puram Mandal of GD Nelloore Constituency.,,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,497570,2024-11-30T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
136190.0,6a932bb5cd94452437a16972,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,299972.0,2024-11-30T00:00:00.000Z,2024.0,0.0,Construction of CC Road from Piligundlapalli Main Road to Subramanyam House connecting Road DBR Bailu Village in Mangunta GP of SR Puram Mandal in GD Nelloore Constituency.,Construction of CC Road from Piligundlapalli Main Road to Subramanyam House connecting Road DBR Bailu Village in Mangunta GP of SR Puram Mandal in GD Nelloore Constituency.,,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,299972,2024-11-30T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
136198.0,6a932bb5cd94452437a16e18,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,383850.0,2025-01-20T00:00:00.000Z,2025.0,0.0,Construction of CC Road From Satyamma Temple to Subramanyam House in Thellagundlapalli Village in Bommaiahapalli GP of Vedurukuppam Mandal of GD Nelloore Constituency.,Construction of CC Road From Satyamma Temple to Subramanyam House in Thellagundlapalli Village in Bommaiahapalli GP of Vedurukuppam Mandal of GD Nelloore Constituency.,,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,383850,2025-01-20T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
135656.0,6a932bb5cd94452437a16a64,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,496981.0,2024-12-14T00:00:00.000Z,2024.0,0.0,"Construction of CC road from Molakamadugu Village to Kotala Main Road in Molakamadugu Village, Dasarapalli GP in Yadamar Mandal of Puthalapttu Constituency.","Construction of CC road from Molakamadugu Village to Kotala Main Road in Molakamadugu Village, Dasarapalli GP in Yadamar Mandal of Puthalapttu Constituency.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,496981,2024-12-14T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
138161.0,6a932bb5cd94452437a191bb,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,1423237.0,2025-07-19T00:00:00.000Z,2025.0,0.0,Construction of CC Raods from Puttu-Sathyavedu road to Market yard in Nagalapuram H/w of Nagalapuram GP in Nagalapuram Mandal.,Construction of CC Raods from Puttu-Sathyavedu road to Market yard in Nagalapuram H/w of Nagalapuram GP in Nagalapuram Mandal.,,Maddila Gurumoorthy,,TIRUPATI,Completed,1423237,2025-07-19T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
135647.0,6a932bb5cd94452437a166af,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,497766.0,2024-10-25T00:00:00.000Z,2024.0,0.0,"Construction of CC Road From Pump House room to R&B Road Link and Markondaiah House to Venkatapuram HW end in Venkatapuram HW Village in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.","Construction of CC Road From Pump House room to R&B Road Link and Markondaiah House to Venkatapuram HW end in Venkatapuram HW Village in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,497766,2024-10-25T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
135649.0,6a932bb5cd94452437a17874,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,490629.0,2025-03-27T00:00:00.000Z,2025.0,0.0,"Construction of CC Road from G. Nirmala House to Apparao & Hari House in Kothuru Village, Nellepalli GP of GD Nelloore Mandal and Constituency.","Construction of CC Road from G. Nirmala House to Apparao & Hari House in Kothuru Village, Nellepalli GP of GD Nelloore Mandal and Constituency.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,490629,2025-03-27T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
136192.0,6a932bb5cd94452437a1696d,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,499013.0,2024-11-30T00:00:00.000Z,2024.0,0.0,"Construction of CC Road from Ramakka House to Doraswami Reddy House in 52Kannikapuram Village , Pillarikuppam GP of SR Puram Mandal of GD Nelloore Constituency.","Construction of CC Road from Ramakka House to Doraswami Reddy House in 52Kannikapuram Village , Pillarikuppam GP of SR Puram Mandal of GD Nelloore Constituency.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,499013,2024-11-30T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
136196.0,6a932bb5cd94452437a1681b,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,199963.0,2025-01-07T00:00:00.000Z,2025.0,0.0,Construction of CC Road from Madhava Naidu house to Yaganti Easwar Naidu House in Padhmapuram Village and GP of SR Puram Mandal of GD Nellore Constituency.,Construction of CC Road from Madhava Naidu house to Yaganti Easwar Naidu House in Padhmapuram Village and GP of SR Puram Mandal of GD Nellore Constituency.,,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,199963,2025-01-07T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
