work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
136494.0,6a932bb5cd94452437a16d07,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,223834.0,2025-01-10T00:00:00.000Z,2025.0,0.0,Providing RO Plant to BC Welfare Hostel at Renigunta in Renigunta Mandal.,Providing RO Plant to BC Welfare Hostel at Renigunta in Renigunta Mandal.,,Maddila Gurumoorthy,,TIRUPATI,Completed,223834,2025-01-10T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
139524.0,6a932bb5cd94452437a16985,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,232853.0,2024-12-03T00:00:00.000Z,2024.0,0.0,"Providing Water Plant System to Yenuguntapalli Village in Cherlopalli GP of Chittoor rural Mandal, Chittoor Constituency.","Providing Water Plant System to Yenuguntapalli Village in Cherlopalli GP of Chittoor rural Mandal, Chittoor Constituency.",,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,232853,2024-12-03T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
136495.0,6a932bb5cd94452437a16c01,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,300000.0,2025-01-02T00:00:00.000Z,2025.0,0.0,Providing RO Plant Machinery at Dr. B.R.Ambedkar Grukulam at Naidupeta in Naidupeta Mandal.,Providing RO Plant Machinery at Dr. B.R.Ambedkar Grukulam at Naidupeta in Naidupeta Mandal.,,Maddila Gurumoorthy,,TIRUPATI,Completed,300000,2025-01-02T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
140236.0,6a932bb5cd94452437a1721b,Andhra Pradesh,Andhra Pradesh,MACHILIPATNAM,MACHILIPATNAM,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Normal/Others,Normal/Others,299297.0,2025-02-22T00:00:00.000Z,2025.0,0.0,Providing supply pipelines and motor for drinking water at Dantaguntla GP of Bapulapadu Mandal in Krishna District,Providing supply pipelines and motor for drinking water at Dantaguntla GP of Bapulapadu Mandal in Krishna District,,Balashowry Vallabbhaneni,,MACHILIPATNAM,Completed,299297,2025-02-22T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
158085.0,6a932bb5cd94452437a1b84f,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Normal/Others,Normal/Others,494221.0,2025-12-04T00:00:00.000Z,2025.0,0.0,"Establishment of Mineral Water Plants in Nandikotkur Municipality

Scope of Work:
The project involves the establishment and operationalization of 04 mineral water plants across four designated wards in Nandikotkur Municipality, located within Nandikotkur Mandal. The primary objective of these plants is to provide access to clean and safe drinking water for the residents in the respective areas.

Location Details:

Ward 23

Ward 16

Ward 20

Ward 12


Estimated Cost:
The total estimated cost for","Establishment of Mineral Water Plants in Nandikotkur Municipality

Scope of Work:
The project involves the establishment and operationalization of 04 mineral water plants across four designated wards in Nandikotkur Municipality, located within Nandikotkur Mandal. The primary objective of these plants is to provide access to clean and safe drinking water for the residents in the respective areas.

Location Details:

Ward 23

Ward 16

Ward 20

Ward 12


Estimated Cost:
The total estimated cost for",,DR BYREDDY SHABARI,,NANDYAL,Completed,494221,2025-12-04T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
158088.0,6a932bb5cd94452437a1b851,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Normal/Others,Normal/Others,487078.0,2025-12-04T00:00:00.000Z,2025.0,0.0,"Establishment of Mineral Water Plants in Nandikotkur Municipality

Scope of Work:
The project involves the establishment and operationalization of 04 mineral water plants across four designated wards in Nandikotkur Municipality, located within Nandikotkur Mandal. The primary objective of these plants is to provide access to clean and safe drinking water for the residents in the respective areas.

Location Details:

Ward 23

Ward 16

Ward 20

Ward 12


Estimated Cost:
The total estimated cost for","Establishment of Mineral Water Plants in Nandikotkur Municipality

Scope of Work:
The project involves the establishment and operationalization of 04 mineral water plants across four designated wards in Nandikotkur Municipality, located within Nandikotkur Mandal. The primary objective of these plants is to provide access to clean and safe drinking water for the residents in the respective areas.

Location Details:

Ward 23

Ward 16

Ward 20

Ward 12


Estimated Cost:
The total estimated cost for",,DR BYREDDY SHABARI,,NANDYAL,Completed,487078,2025-12-04T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
158211.0,6a932bb5cd94452437a1bc78,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Normal/Others,Normal/Others,490337.0,2025-12-09T00:00:00.000Z,2025.0,0.0,"Establishment of a Mineral Water Plant in  Bhaskarapuram Village, Hamlet of Bollavaram, Jupad Bunglow Mandal, with a budget of 5,00,000 to ensure access to clean and safe drinking water for the residents","Establishment of a Mineral Water Plant in  Bhaskarapuram Village, Hamlet of Bollavaram, Jupad Bunglow Mandal, with a budget of 5,00,000 to ensure access to clean and safe drinking water for the residents",,DR BYREDDY SHABARI,,NANDYAL,Completed,490337,2025-12-09T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
158282.0,6a932bb5cd94452437a1b611,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Repair and Renovation,Repair and Renovation,499936.0,2025-11-19T00:00:00.000Z,2025.0,0.0,"Establishment of a Mineral Water Plant in Prathakota Village, Pagidyala Mandal, to provide clean and safe drinking water to the residents of the area.","Establishment of a Mineral Water Plant in Prathakota Village, Pagidyala Mandal, to provide clean and safe drinking water to the residents of the area.",,DR BYREDDY SHABARI,,NANDYAL,Completed,499936,2025-11-19T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
158756.0,6a932bb5cd94452437a1bc7f,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),Normal/Others,Normal/Others,499247.0,2025-12-09T00:00:00.000Z,2025.0,0.0,"Establishment of a mineral water plant in Srinagaram village, a hamlet of Bukkapuram in Mahanandi Mandal, to provide safe and clean drinking water. The project includes setting up purification systems, conducting quality checks, and creating local employment, ensuring improved health and sustainable water access for the community.","Establishment of a mineral water plant in Srinagaram village, a hamlet of Bukkapuram in Mahanandi Mandal, to provide safe and clean drinking water. The project includes setting up purification systems, conducting quality checks, and creating local employment, ensuring improved health and sustainable water access for the community.",,DR BYREDDY SHABARI,,NANDYAL,Completed,499247,2025-12-09T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
146745.0,6a932bb5cd94452437a16fcb,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,185505.0,2025-02-05T00:00:00.000Z,2025.0,0.0,Providing New Borewell at Pabbamchenu Mitta of Eguva Kamma Kandriga GP in SR Puram Mandal of GD Nellore Constituency.,Providing New Borewell at Pabbamchenu Mitta of Eguva Kamma Kandriga GP in SR Puram Mandal of GD Nellore Constituency.,,DAGGUMALLA PRASADA RAO,,CHITTOOR,Completed,185505,2025-02-05T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
