work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
225880.0,6a932bb5cd94452437a1a853,Arunachal Pradesh,Arunachal Pradesh,ARUNACHAL EAST,ARUNACHAL EAST,TIRAP(DEPUTY COMMISSIONER TIRAP_IDA),TIRAP(DEPUTY COMMISSIONER TIRAP_IDA),Normal/Others,Normal/Others,500000.0,2025-09-29T00:00:00.000Z,2025.0,0.0,Construction of Protection wall near circuit house at Khonsa in Tirap District,Construction of Protection wall near circuit house at Khonsa in Tirap District,,Shri Tapir Gao,,ARUNACHAL EAST,Completed,500000,2025-09-29T00:00:00.000Z,,,,,,,,,,,,Irrigation & Flood Protection,Physical Infrastructure
225890.0,6a932bb5cd94452437a1b1e9,Arunachal Pradesh,Arunachal Pradesh,ARUNACHAL EAST,ARUNACHAL EAST,LONGDING(Deputy Commisioner Longding_IDA),LONGDING(Deputy Commisioner Longding_IDA),Normal/Others,Normal/Others,500000.0,2025-11-10T00:00:00.000Z,2025.0,0.0,"Construction of Culvert at Koksy Nallah, Longkai Village in Longding District","Construction of Culvert at Koksy Nallah, Longkai Village in Longding District",,Shri Tapir Gao,,ARUNACHAL EAST,Completed,500000,2025-11-10T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
225892.0,6a932bb5cd94452437a1be0c,Arunachal Pradesh,Arunachal Pradesh,ARUNACHAL EAST,ARUNACHAL EAST,LONGDING(Deputy Commisioner Longding_IDA),LONGDING(Deputy Commisioner Longding_IDA),Normal/Others,Normal/Others,500000.0,2026-01-12T00:00:00.000Z,2026.0,0.0,Construction of Water Tank and pipeline at Ngasum agri field in Longding District,Construction of Water Tank and pipeline at Ngasum agri field in Longding District,,Shri Tapir Gao,,ARUNACHAL EAST,Completed,500000,2026-01-12T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
225902.0,6a932bb5cd94452437a1d149,Arunachal Pradesh,Arunachal Pradesh,ARUNACHAL EAST,ARUNACHAL EAST,SIANG(Deputy Commisioner Siang_IDA),SIANG(Deputy Commisioner Siang_IDA),Normal/Others,Normal/Others,499985.0,2026-03-02T00:00:00.000Z,2026.0,0.0,Construction of Porter track at Riga in Siang District,Construction of Porter track at Riga in Siang District,,Shri Tapir Gao,,ARUNACHAL EAST,Completed,499985,2026-03-02T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
225904.0,6a932bb5cd94452437a1d14a,Arunachal Pradesh,Arunachal Pradesh,ARUNACHAL EAST,ARUNACHAL EAST,SIANG(Deputy Commisioner Siang_IDA),SIANG(Deputy Commisioner Siang_IDA),Normal/Others,Normal/Others,1000000.0,2026-02-24T00:00:00.000Z,2026.0,0.0,"Construction of Approach Road from PP Road to Berek agri. field, Rottung Village in Siang District","Construction of Approach Road from PP Road to Berek agri. field, Rottung Village in Siang District",,Shri Tapir Gao,,ARUNACHAL EAST,Completed,1000000,2026-02-24T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
225924.0,6a932bb5cd94452437a1aa94,Arunachal Pradesh,Arunachal Pradesh,ARUNACHAL EAST,ARUNACHAL EAST,LOWER DIBANG VALLEY(Deputy Commisioner Lower Dibang Valley_IDA),LOWER DIBANG VALLEY(Deputy Commisioner Lower Dibang Valley_IDA),Normal/Others,Normal/Others,1000000.0,2025-10-09T00:00:00.000Z,2025.0,0.0,Construction of RLR at Cheta Village in Lower Dibang Valley District,Construction of RLR at Cheta Village in Lower Dibang Valley District,,Shri Tapir Gao,,ARUNACHAL EAST,Completed,1000000,2025-10-09T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
225926.0,6a932bb5cd94452437a1af6c,Arunachal Pradesh,Arunachal Pradesh,ARUNACHAL EAST,ARUNACHAL EAST,LOWER DIBANG VALLEY(Deputy Commisioner Lower Dibang Valley_IDA),LOWER DIBANG VALLEY(Deputy Commisioner Lower Dibang Valley_IDA),Normal/Others,Normal/Others,500000.0,2025-10-22T00:00:00.000Z,2025.0,0.0,Construction of RLR at Jilek in Lower Dibang Valley District,Construction of RLR at Jilek in Lower Dibang Valley District,,Shri Tapir Gao,,ARUNACHAL EAST,Completed,500000,2025-10-22T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
225930.0,6a932bb5cd94452437a1afe9,Arunachal Pradesh,Arunachal Pradesh,ARUNACHAL EAST,ARUNACHAL EAST,LOWER DIBANG VALLEY(Deputy Commisioner Lower Dibang Valley_IDA),LOWER DIBANG VALLEY(Deputy Commisioner Lower Dibang Valley_IDA),Normal/Others,Normal/Others,500000.0,2025-10-28T00:00:00.000Z,2025.0,0.0,Construction of Approach Road at 7 kilo in Lower Dibang Valley District,Construction of Approach Road at 7 kilo in Lower Dibang Valley District,,Shri Tapir Gao,,ARUNACHAL EAST,Completed,500000,2025-10-28T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
225940.0,6a932bb5cd94452437a1d9a0,Arunachal Pradesh,Arunachal Pradesh,ARUNACHAL EAST,ARUNACHAL EAST,EAST SIANG(Deputy Commisioner East Siang_IDA),EAST SIANG(Deputy Commisioner East Siang_IDA),Normal/Others,Normal/Others,1000000.0,2026-03-21T00:00:00.000Z,2026.0,0.0,"Procurement of initial equipments for the setting up the Shaurya Sainik Primary School, Niglok in East Siang District","Procurement of initial equipments for the setting up the Shaurya Sainik Primary School, Niglok in East Siang District",,Shri Tapir Gao,,ARUNACHAL EAST,Completed,1000000,2026-03-21T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
225942.0,6a932bb5cd94452437a1b7b0,Arunachal Pradesh,Arunachal Pradesh,ARUNACHAL EAST,ARUNACHAL EAST,EAST SIANG(Deputy Commisioner East Siang_IDA),EAST SIANG(Deputy Commisioner East Siang_IDA),Normal/Others,Normal/Others,1000000.0,2025-11-21T00:00:00.000Z,2025.0,0.0,Construction of Internal Road at Sika Bamin Village in East Siang District,Construction of Internal Road at Sika Bamin Village in East Siang District,,Shri Tapir Gao,,ARUNACHAL EAST,Completed,1000000,2025-11-21T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
