work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
143870.0,6a932bb5cd94452437a175da,Assam,Assam,Diphu,Diphu,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),Repair and Renovation,Repair and Renovation,500000.0,2025-08-02T00:00:00.000Z,2025.0,0.0,"Improvement of Poultry Farm near ""KERUF- Karbi Ex-Revolutionary United Forum"" Office, 5th Mile, Diphu","Improvement of Poultry Farm near ""KERUF- Karbi Ex-Revolutionary United Forum"" Office, 5th Mile, Diphu",,AMARSING TISSO,,Diphu,Completed,500000,2025-08-02T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
146093.0,6a932bb5cd94452437a1712b,Assam,Assam,Diphu,Diphu,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),Normal/Others,Normal/Others,299583.0,2025-11-02T00:00:00.000Z,2025.0,0.0,"Construction of RCC Ringwell at Sainilangso, Disobai","Construction of RCC Ringwell at Sainilangso, Disobai",,AMARSING TISSO,,Diphu,Completed,299583,2025-11-02T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
147014.0,6a932bb5cd94452437a171a0,Assam,Assam,GUWAHATI,GUWAHATI,GOALPARA(Deputy Commissioner Goalpara_IDA),GOALPARA(Deputy Commissioner Goalpara_IDA),Normal/Others,Normal/Others,350000.0,2026-04-27T00:00:00.000Z,2026.0,0.0,"Construction of community hall at Tharka Bazar near kalimandir , Joyramkhusi","Construction of community hall at Tharka Bazar near kalimandir , Joyramkhusi",,BIJULI KALITA MEDHI,,GUWAHATI,Completed,350000,2026-04-27T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
147021.0,6a932bb5cd94452437a16ea7,Assam,Assam,GUWAHATI,GUWAHATI,GOALPARA(Deputy Commissioner Goalpara_IDA),GOALPARA(Deputy Commissioner Goalpara_IDA),Normal/Others,Normal/Others,500000.0,2026-04-27T00:00:00.000Z,2026.0,0.0,"Construction of open community hall at Sri Sri Niranjan Mahaprubhu Pith , Bakaitari.","Construction of open community hall at Sri Sri Niranjan Mahaprubhu Pith , Bakaitari.",,BIJULI KALITA MEDHI,,GUWAHATI,Completed,500000,2026-04-27T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
148296.0,6a932bb5cd94452437a18b67,Assam,Assam,JORHAT,JORHAT,CHARAIDEO(Deputy Commissioner Charaideo_IDA),CHARAIDEO(Deputy Commissioner Charaideo_IDA),Normal/Others,Normal/Others,199890.0,2025-09-15T00:00:00.000Z,2025.0,0.0,"Construction of Bagarital Nahar Ali connecting road, Boruah Nagar, Midangpara, Milonjyoti GP","Construction of Bagarital Nahar Ali connecting road, Boruah Nagar, Midangpara, Milonjyoti GP",,GAURAV GOGOI,,JORHAT,Completed,199890,2025-09-15T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
148301.0,6a932bb5cd94452437a19503,Assam,Assam,JORHAT,JORHAT,CHARAIDEO(Deputy Commissioner Charaideo_IDA),CHARAIDEO(Deputy Commissioner Charaideo_IDA),Normal/Others,Normal/Others,199863.0,2026-01-21T00:00:00.000Z,2026.0,0.0,"Construction of Community Centre Garkush Habi Gaon near Hari Mandir, Nagahat, Garkush Habi Gaon, Sonali GP","Construction of Community Centre Garkush Habi Gaon near Hari Mandir, Nagahat, Garkush Habi Gaon, Sonali GP",,GAURAV GOGOI,,JORHAT,Completed,199863,2026-01-21T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
148306.0,6a932bb5cd94452437a19504,Assam,Assam,JORHAT,JORHAT,CHARAIDEO(Deputy Commissioner Charaideo_IDA),CHARAIDEO(Deputy Commissioner Charaideo_IDA),Normal/Others,Normal/Others,199924.0,2026-01-21T00:00:00.000Z,2026.0,0.0,"Construction of Rohan Gohain Gaon Puroni Namghar, 1 no Rohan Pather, Rohan GP","Construction of Rohan Gohain Gaon Puroni Namghar, 1 no Rohan Pather, Rohan GP",,GAURAV GOGOI,,JORHAT,Completed,199924,2026-01-21T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
148379.0,6a932bb5cd94452437a182f9,Assam,Assam,LAKHIMPUR,LAKHIMPUR,DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA),DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA),Repair and Renovation,Repair and Renovation,999780.0,2026-01-20T00:00:00.000Z,2026.0,0.0,"Rennovation of Dekapam PHC, Jonai LAC under MPLAD, FY 2024-25","Rennovation of Dekapam PHC, Jonai LAC under MPLAD, FY 2024-25",,Pradan Baruah,,LAKHIMPUR,Completed,999780,2026-01-20T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
153297.0,6a932bb5cd94452437a16c84,Assam,Assam,Diphu,Diphu,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),Normal/Others,Normal/Others,496993.0,2025-08-27T00:00:00.000Z,2025.0,0.0,"Construction of Waiting Shed near DIG Office Complex, Diphu","Construction of Waiting Shed near DIG Office Complex, Diphu",,AMARSING TISSO,,Diphu,Completed,496993,2025-08-27T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
153740.0,6a932bb5cd94452437a18c5b,Assam,Assam,NOWGONG,NOWGONG,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Normal/Others,Normal/Others,1000000.0,2025-11-06T00:00:00.000Z,2025.0,0.0,"Construction of Mehboob Khan path at ward no.25, Benganati GP, Nagaon","Construction of Mehboob Khan path at ward no.25, Benganati GP, Nagaon",,Pradyut Bordoloi,,NOWGONG,Completed,1000000,2025-11-06T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
154278.0,6a932bb5cd94452437a17839,Assam,Assam,Diphu,Diphu,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),Normal/Others,Normal/Others,1499178.0,2025-12-11T00:00:00.000Z,2025.0,0.0,Construction of community fishery at Bithiphang No. 2 Dili Terang Gaon,Construction of community fishery at Bithiphang No. 2 Dili Terang Gaon,,AMARSING TISSO,,Diphu,Completed,1499178,2025-12-11T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
154341.0,6a932bb5cd94452437a18a18,Assam,Assam,Diphu,Diphu,WEST KARBI ANGLONG(DISTRICT COMMISSIONER WEST KARBI ANGLONG),WEST KARBI ANGLONG(DISTRICT COMMISSIONER WEST KARBI ANGLONG),Normal/Others,Normal/Others,181264.0,2026-02-26T00:00:00.000Z,2026.0,0.0,"Improvement of water harvesting at Tharvelangso, Longre","Improvement of water harvesting at Tharvelangso, Longre",,AMARSING TISSO,,Diphu,Completed,181264,2026-02-26T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
154708.0,6a932bb5cd94452437a1b33c,Assam,Assam,JORHAT,JORHAT,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),SIVASAGAR(Deputy Commissioner Sivsagar_IDA),Normal/Others,Normal/Others,198105.0,2026-02-25T00:00:00.000Z,2026.0,0.0,"Development of Chetia Handique Bor Namghar Cultural Centre, Rohdai GP","Development of Chetia Handique Bor Namghar Cultural Centre, Rohdai GP",,GAURAV GOGOI,,JORHAT,Completed,198105,2026-02-25T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
160370.0,6a932bb5cd94452437a18ead,Assam,Assam,NOWGONG,NOWGONG,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Normal/Others,Normal/Others,400000.0,2026-02-24T00:00:00.000Z,2026.0,0.0,"Construction floor with tiles at Niz-pathari (Burhachuk) Namghar (150), Pathari GP","Construction floor with tiles at Niz-pathari (Burhachuk) Namghar (150), Pathari GP",,Pradyut Bordoloi,,NOWGONG,Completed,400000,2026-02-24T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
161011.0,6a932bb5cd94452437a1a2ed,Assam,Assam,JORHAT,JORHAT,"MAJULI(District Commissioner, Majuli)","MAJULI(District Commissioner, Majuli)",Normal/Others,Normal/Others,151895.0,2026-08-26T00:00:00.000Z,2026.0,0.0,"Construction of Waiting Shed at Garamur Pitambar Dev Civil Hospital, Garamur Satra, Garamur GP","Construction of Waiting Shed at Garamur Pitambar Dev Civil Hospital, Garamur Satra, Garamur GP",,GAURAV GOGOI,,JORHAT,Completed,151895,2026-08-26T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
161040.0,6a932bb5cd94452437a197ef,Assam,Assam,JORHAT,JORHAT,"MAJULI(District Commissioner, Majuli)","MAJULI(District Commissioner, Majuli)",Normal/Others,Normal/Others,159200.0,2026-08-18T00:00:00.000Z,2026.0,0.0,"Construction of Nayabazar Sanmilita Kristi Sangha, Ratanpur Miri, Ratanpur Miri GP","Construction of Nayabazar Sanmilita Kristi Sangha, Ratanpur Miri, Ratanpur Miri GP",,GAURAV GOGOI,,JORHAT,Completed,159200,2026-08-18T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
161043.0,6a932bb5cd94452437a1a5a0,Assam,Assam,JORHAT,JORHAT,"MAJULI(District Commissioner, Majuli)","MAJULI(District Commissioner, Majuli)",Normal/Others,Normal/Others,148632.0,2026-08-18T00:00:00.000Z,2026.0,0.0,"Construction of Waiting Shed at Chapori Gaon, Chapori Gaon, Panikhati, Luitporia GP","Construction of Waiting Shed at Chapori Gaon, Chapori Gaon, Panikhati, Luitporia GP",,GAURAV GOGOI,,JORHAT,Completed,148632,2026-08-18T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
161670.0,6a932bb5cd94452437a1738a,Assam,Assam,NOWGONG,NOWGONG,MARIGAON(District Development Commissioner Morigaon),MARIGAON(District Development Commissioner Morigaon),Normal/Others,Normal/Others,497776.0,2025-12-12T00:00:00.000Z,2025.0,0.0,"Construction of road from Abdul Ali house to Javed Ali house at Lechabari Gaon, Bhurgaon GP, Jagiroad","Construction of road from Abdul Ali house to Javed Ali house at Lechabari Gaon, Bhurgaon GP, Jagiroad",,Pradyut Bordoloi,,NOWGONG,Completed,497776,2025-12-12T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
162635.0,6a932bb5cd94452437a18306,Assam,Assam,LAKHIMPUR,LAKHIMPUR,DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA),DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA),Normal/Others,Normal/Others,499623.0,2026-01-20T00:00:00.000Z,2026.0,0.0,Const. of Urinal and Lavatory with running water facility at Jonai Sarbajanin Namghar. Jonai LAC under MPLADS for the year 2024-25,Const. of Urinal and Lavatory with running water facility at Jonai Sarbajanin Namghar. Jonai LAC under MPLADS for the year 2024-25,,Pradan Baruah,,LAKHIMPUR,Completed,499623,2026-01-20T00:00:00.000Z,,,,,,,,,,,,Drinking Water Supply,Public Health & Basic Amenities
162641.0,6a932bb5cd94452437a18abb,Assam,Assam,LAKHIMPUR,LAKHIMPUR,DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA),DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA),Normal/Others,Normal/Others,499787.0,2025-08-30T00:00:00.000Z,2025.0,0.0,"Const. of Community hall near Deogharbari Aai Than, Nagaon, Bordoloni, for the year 2024-25","Const. of Community hall near Deogharbari Aai Than, Nagaon, Bordoloni, for the year 2024-25",,Pradan Baruah,,LAKHIMPUR,Completed,499787,2025-08-30T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
