work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
133409.0,6a932bb5cd94452437a16574,Bihar,Bihar,ARARIA,ARARIA,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),Normal/Others,Normal/Others,448127.0,2024-09-05T00:00:00.000Z,2024.0,0.0,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.","PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",,Pradeep Kumar Singh,,ARARIA,Completed,448127,2024-09-05T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
133941.0,6a932bb5cd94452437a1a60b,Bihar,Bihar,JHANJHARPUR,JHANJHARPUR,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Normal/Others,Normal/Others,1451000.0,2025-09-26T00:00:00.000Z,2025.0,0.0,Basopatti babhan dey chowk ke pass  Pre Fabricated  bus sheds ka kray and instolation work.,Basopatti babhan dey chowk ke pass  Pre Fabricated  bus sheds ka kray and instolation work.,,Ramprit Mandal,,JHANJHARPUR,Completed,1451000,2025-09-26T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
133945.0,6a932bb5cd94452437a1a60d,Bihar,Bihar,JHANJHARPUR,JHANJHARPUR,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Normal/Others,Normal/Others,1451000.0,2025-09-26T00:00:00.000Z,2025.0,0.0,ranti chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.,ranti chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.,,Ramprit Mandal,,JHANJHARPUR,Completed,1451000,2025-09-26T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
133947.0,6a932bb5cd94452437a18729,Bihar,Bihar,JHANJHARPUR,JHANJHARPUR,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Normal/Others,Normal/Others,994000.0,2025-06-17T00:00:00.000Z,2025.0,0.0,Babunarhi prakhand ke antargat bhatchoura gram sthith sarvjanik mandir ke najdik high mask light ka adhisthapan karya,Babunarhi prakhand ke antargat bhatchoura gram sthith sarvjanik mandir ke najdik high mask light ka adhisthapan karya,,Ramprit Mandal,,JHANJHARPUR,Completed,994000,2025-06-17T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
133955.0,6a932bb5cd94452437a1a60a,Bihar,Bihar,JHANJHARPUR,JHANJHARPUR,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Normal/Others,Normal/Others,1451000.0,2025-09-26T00:00:00.000Z,2025.0,0.0,bhupatti ges goudam chowk  ke pass bus Pre Fabricated  bus sheds ka kray and instolation work.,bhupatti ges goudam chowk  ke pass bus Pre Fabricated  bus sheds ka kray and instolation work.,,Ramprit Mandal,,JHANJHARPUR,Completed,1451000,2025-09-26T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
133960.0,6a932bb5cd94452437a1c4cc,Bihar,Bihar,JHANJHARPUR,JHANJHARPUR,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Normal/Others,Normal/Others,1451000.0,2026-01-06T00:00:00.000Z,2026.0,0.0,arariya sangram mithila hat najdik NH ke bagal me Pre Fabricated  bus sheds ka kray and instolation work.,arariya sangram mithila hat najdik NH ke bagal me Pre Fabricated  bus sheds ka kray and instolation work.,,Ramprit Mandal,,JHANJHARPUR,Completed,1451000,2026-01-06T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
133976.0,6a932bb5cd94452437a18b17,Bihar,Bihar,JHANJHARPUR,JHANJHARPUR,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Normal/Others,Normal/Others,994000.0,2025-07-03T00:00:00.000Z,2025.0,0.0,Rajnagar block ke antargat pilakhwar gram sthith durga mandir evm sarkari school ke najdik high mask electric light ka kray evam  adhisthapan karya. (Attached Takniki Vishistiyan ke Anurup),Rajnagar block ke antargat pilakhwar gram sthith durga mandir evm sarkari school ke najdik high mask electric light ka kray evam  adhisthapan karya. (Attached Takniki Vishistiyan ke Anurup),,Ramprit Mandal,,JHANJHARPUR,Completed,994000,2025-07-03T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
134023.0,6a932bb5cd94452437a1692f,Bihar,Bihar,BUXAR,BUXAR,BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA),BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA),Normal/Others,Normal/Others,1496484.0,2024-11-26T00:00:00.000Z,2024.0,0.0,Construction of road from Rajan Singh's agricultural plot to Late Pradyuman Singh's Agricultural Plot at Sowan.,Construction of road from Rajan Singh's agricultural plot to Late Pradyuman Singh's Agricultural Plot at Sowan.,,SUDHAKAR SINGH,,BUXAR,Completed,1496484,2024-11-26T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
134025.0,6a932bb5cd94452437a18dbe,Bihar,Bihar,BUXAR,BUXAR,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),Normal/Others,Normal/Others,899640.0,2025-07-12T00:00:00.000Z,2025.0,0.0,"Purchase of new Bench, Desks nos. - 200 at Jagdev Lohia Inter college.","Purchase of new Bench, Desks nos. - 200 at Jagdev Lohia Inter college.",,SUDHAKAR SINGH,,BUXAR,Completed,899640,2025-07-12T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
134031.0,6a932bb5cd94452437a1c62a,Bihar,Bihar,BUXAR,BUXAR,BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA),BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA),Repair and Renovation,Repair and Renovation,487094.0,2026-01-09T00:00:00.000Z,2026.0,0.0,Repair of Anganwadi centre at Bhar Chakia.,Repair of Anganwadi centre at Bhar Chakia.,,SUDHAKAR SINGH,,BUXAR,Completed,487094,2026-01-09T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
