work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
134629.0,6a932bb5cd94452437a1668a,Chhattisgarh,Chhattisgarh,JANJGIR CHAMPA,JANJGIR CHAMPA,SAKTI(COLLECTOR SAKTI_IDA),SAKTI(COLLECTOR SAKTI_IDA),Normal/Others,Normal/Others,1000000.0,2024-12-17T00:00:00.000Z,2024.0,0.0,CC Road - Yaadram varman Home to towards Gothhan.,CC Road - Yaadram varman Home to towards Gothhan.,,KAMLESH JANGDE,,JANJGIR CHAMPA,Completed,1000000,2024-12-17T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
134631.0,6a932bb5cd94452437a16600,Chhattisgarh,Chhattisgarh,JANJGIR CHAMPA,JANJGIR CHAMPA,SAKTI(COLLECTOR SAKTI_IDA),SAKTI(COLLECTOR SAKTI_IDA),Normal/Others,Normal/Others,500000.0,2024-12-05T00:00:00.000Z,2024.0,0.0,Construction of cycle stand.,Construction of cycle stand.,,KAMLESH JANGDE,,JANJGIR CHAMPA,Completed,500000,2024-12-05T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
134633.0,6a932bb5cd94452437a165ff,Chhattisgarh,Chhattisgarh,JANJGIR CHAMPA,JANJGIR CHAMPA,SAKTI(COLLECTOR SAKTI_IDA),SAKTI(COLLECTOR SAKTI_IDA),Normal/Others,Normal/Others,1000000.0,2025-01-10T00:00:00.000Z,2025.0,0.0,"CC Road- Prakash ahead of home, Gram panchayat- Chorbhatthi","CC Road- Prakash ahead of home, Gram panchayat- Chorbhatthi",,KAMLESH JANGDE,,JANJGIR CHAMPA,Completed,1000000,2025-01-10T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
134644.0,6a932bb5cd94452437a1658a,Chhattisgarh,Chhattisgarh,JANJGIR CHAMPA,JANJGIR CHAMPA,SAKTI(COLLECTOR SAKTI_IDA),SAKTI(COLLECTOR SAKTI_IDA),Normal/Others,Normal/Others,1000000.0,2025-02-12T00:00:00.000Z,2025.0,0.0,CC Road- Ahead from the main road towards the canal.,CC Road- Ahead from the main road towards the canal.,,KAMLESH JANGDE,,JANJGIR CHAMPA,Completed,1000000,2025-02-12T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
134649.0,6a932bb5cd94452437a16593,Chhattisgarh,Chhattisgarh,JANJGIR CHAMPA,JANJGIR CHAMPA,SAKTI(COLLECTOR SAKTI_IDA),SAKTI(COLLECTOR SAKTI_IDA),Normal/Others,Normal/Others,998871.0,2025-03-05T00:00:00.000Z,2025.0,0.0,Construction of culverts and bridges- Between Singhra and Chhote Kot,Construction of culverts and bridges- Between Singhra and Chhote Kot,,KAMLESH JANGDE,,JANJGIR CHAMPA,Completed,998871,2025-03-05T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
134658.0,6a932bb5cd94452437a1667a,Chhattisgarh,Chhattisgarh,JANJGIR CHAMPA,JANJGIR CHAMPA,SAKTI(COLLECTOR SAKTI_IDA),SAKTI(COLLECTOR SAKTI_IDA),Normal/Others,Normal/Others,999744.0,2025-01-30T00:00:00.000Z,2025.0,0.0,CC Road- From the main road towards Sandhya Home.,CC Road- From the main road towards Sandhya Home.,,KAMLESH JANGDE,,JANJGIR CHAMPA,Completed,999744,2025-01-30T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
134661.0,6a932bb5cd94452437a1674d,Chhattisgarh,Chhattisgarh,JANJGIR CHAMPA,JANJGIR CHAMPA,SAKTI(COLLECTOR SAKTI_IDA),SAKTI(COLLECTOR SAKTI_IDA),Normal/Others,Normal/Others,500000.0,2025-02-19T00:00:00.000Z,2025.0,0.0,Gram-kanchanpur me sarvajanik samudaik bhavan (patel mohalla me)Ahata nirmaran,Gram-kanchanpur me sarvajanik samudaik bhavan (patel mohalla me)Ahata nirmaran,,KAMLESH JANGDE,,JANJGIR CHAMPA,Completed,500000,2025-02-19T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
134666.0,6a932bb5cd94452437a1660c,Chhattisgarh,Chhattisgarh,JANJGIR CHAMPA,JANJGIR CHAMPA,SAKTI(COLLECTOR SAKTI_IDA),SAKTI(COLLECTOR SAKTI_IDA),Normal/Others,Normal/Others,999772.0,2025-01-07T00:00:00.000Z,2025.0,0.0,CC Road- from the Bar Chowk to towards School.,CC Road- from the Bar Chowk to towards School.,,KAMLESH JANGDE,,JANJGIR CHAMPA,Completed,999772,2025-01-07T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
134670.0,6a932bb5cd94452437a165c3,Chhattisgarh,Chhattisgarh,JANJGIR CHAMPA,JANJGIR CHAMPA,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),Normal/Others,Normal/Others,598982.0,2024-11-14T00:00:00.000Z,2024.0,0.0,Construction of community building in the Muslim locality.,Construction of community building in the Muslim locality.,,KAMLESH JANGDE,,JANJGIR CHAMPA,Completed,598982,2024-11-14T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
134672.0,6a932bb5cd94452437a16591,Chhattisgarh,Chhattisgarh,JANJGIR CHAMPA,JANJGIR CHAMPA,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),Normal/Others,Normal/Others,991511.0,2024-10-17T00:00:00.000Z,2024.0,0.0,CC Road- From the high school towards the Fair Ground,CC Road- From the high school towards the Fair Ground,,KAMLESH JANGDE,,JANJGIR CHAMPA,Completed,991511,2024-10-17T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
