work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
155608.0,6a932bb5cd94452437a180aa,Gujarat,Gujarat,BHARUCH,BHARUCH,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Normal/Others,Normal/Others,200000.0,2025-05-28T00:00:00.000Z,2025.0,0.0,baldava - atkhol hasmukhbhai prabhubhai na faliya ma pevar block nu kaam,baldava - atkhol hasmukhbhai prabhubhai na faliya ma pevar block nu kaam,,Mansukhbhai Dhanjibhai Vasava,,BHARUCH,Completed,200000,2025-05-28T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
156022.0,6a932bb5cd94452437a1c9f1,Gujarat,Gujarat,KACHCHH,KACHCHH,KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),Normal/Others,Normal/Others,400000.0,2026-01-23T00:00:00.000Z,2026.0,0.0,mandvi talukana ludva game grujar meghval  vistar sanskrutik hall,mandvi talukana ludva game grujar meghval  vistar sanskrutik hall,,Vinod Chavda,,KACHCHH,Completed,400000,2026-01-23T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
156400.0,6a932bb5cd94452437a1968a,Gujarat,Gujarat,MAHESANA,MAHESANA,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Normal/Others,Normal/Others,250000.0,2025-10-29T00:00:00.000Z,2025.0,0.0,RCC Road in Front of Kameshwar Mahadev Temple (Public Place) to Gate,RCC Road in Front of Kameshwar Mahadev Temple (Public Place) to Gate,,HARIBHAI PATEL,,MAHESANA,Completed,250000,2025-10-29T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
156416.0,6a932bb5cd94452437a18b7f,Gujarat,Gujarat,BHAVNAGAR,BHAVNAGAR,BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA),BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA),Normal/Others,Normal/Others,300000.0,2025-07-11T00:00:00.000Z,2025.0,0.0,Making of pathway (Paving Block) at Pratapara village,Making of pathway (Paving Block) at Pratapara village,,NIMUBEN JAYANTIBHAI BAMBHANIYA,,BHAVNAGAR,Completed,300000,2025-07-11T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
156442.0,6a932bb5cd94452437a182c8,Gujarat,Gujarat,SURAT,SURAT,SURAT(DISTRICT COLLECTOR SURAT_IDA),SURAT(DISTRICT COLLECTOR SURAT_IDA),Normal/Others,Normal/Others,199160.0,2025-07-01T00:00:00.000Z,2025.0,0.0,"In Ward 21, allocate one computer each to the Nagar Prathmik Shikshan Samiti schools numbered 20, 23, 30, 34, and 25.","In Ward 21, allocate one computer each to the Nagar Prathmik Shikshan Samiti schools numbered 20, 23, 30, 34, and 25.",,MUKESHKUMAR CHANDRAKAANT DALAL,,SURAT,Completed,199160,2025-07-01T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
156447.0,6a932bb5cd94452437a182cc,Gujarat,Gujarat,SURAT,SURAT,SURAT(DISTRICT COLLECTOR SURAT_IDA),SURAT(DISTRICT COLLECTOR SURAT_IDA),Normal/Others,Normal/Others,199200.0,2025-07-11T00:00:00.000Z,2025.0,0.0,"In Ward 13, allocate one computer to each of the following schools under the Nagar Primary Education Committee: School No. 53,55,50, and 65.","In Ward 13, allocate one computer to each of the following schools under the Nagar Primary Education Committee: School No. 53,55,50, and 65.",,MUKESHKUMAR CHANDRAKAANT DALAL,,SURAT,Completed,199200,2025-07-11T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
156450.0,6a932bb5cd94452437a18343,Gujarat,Gujarat,SURAT,SURAT,SURAT(DISTRICT COLLECTOR SURAT_IDA),SURAT(DISTRICT COLLECTOR SURAT_IDA),Normal/Others,Normal/Others,49800.0,2025-07-23T00:00:00.000Z,2025.0,0.0,"In Ward 6, allocate one computer to each of the following schools under the Nagar Primary Education Committee: School No. 178.","In Ward 6, allocate one computer to each of the following schools under the Nagar Primary Education Committee: School No. 178.",,MUKESHKUMAR CHANDRAKAANT DALAL,,SURAT,Completed,49800,2025-07-23T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
156478.0,6a932bb5cd94452437a18f6c,Gujarat,Gujarat,SURAT,SURAT,SURAT(DISTRICT COLLECTOR SURAT_IDA),SURAT(DISTRICT COLLECTOR SURAT_IDA),Normal/Others,Normal/Others,275555.0,2025-07-23T00:00:00.000Z,2025.0,0.0,"In Ward 21, allocate one smart board to School No. 18 under the Nagar Primary Education Committee.","In Ward 21, allocate one smart board to School No. 18 under the Nagar Primary Education Committee.",,MUKESHKUMAR CHANDRAKAANT DALAL,,SURAT,Completed,275555,2025-07-23T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
156513.0,6a932bb5cd94452437a1e871,Gujarat,Gujarat,DAHOD,DAHOD,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Dahod(DISTRICT COLLECTOR DOHAD_IDA),Normal/Others,Normal/Others,492000.0,2026-08-19T00:00:00.000Z,2026.0,0.0,surpur(r) game bariya faliya ma damar road thi vajesing tersing na ghar sudhi jaher hitarthe 250 meter c.c.road nu kam,surpur(r) game bariya faliya ma damar road thi vajesing tersing na ghar sudhi jaher hitarthe 250 meter c.c.road nu kam,,Jaswantsinh Sumanbhai Bhabhor,,DAHOD,Completed,492000,2026-08-19T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
156515.0,6a932bb5cd94452437a1e872,Gujarat,Gujarat,DAHOD,DAHOD,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Dahod(DISTRICT COLLECTOR DOHAD_IDA),Normal/Others,Normal/Others,400000.0,2026-08-19T00:00:00.000Z,2026.0,0.0,sangada faliya ma c.c.road nu kam,sangada faliya ma c.c.road nu kam,,Jaswantsinh Sumanbhai Bhabhor,,DAHOD,Completed,400000,2026-08-19T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
