work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
133301.0,6a932bb5cd94452437a16f2e,Karnataka,Karnataka,DHARWAD,DHARWAD,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Normal/Others,Normal/Others,398009.0,2025-02-03T00:00:00.000Z,2025.0,0.0,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202","Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",,Pralhad Venkatesh Joshi,,DHARWAD,Completed,398009,2025-02-03T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
133304.0,6a932bb5cd94452437a1a5ad,Karnataka,Karnataka,DHARWAD,DHARWAD,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Normal/Others,Normal/Others,396154.0,2025-09-25T00:00:00.000Z,2025.0,0.0,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,,Pralhad Venkatesh Joshi,,DHARWAD,Completed,396154,2025-09-25T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
133307.0,6a932bb5cd94452437a19431,Karnataka,Karnataka,DHARWAD,DHARWAD,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Normal/Others,Normal/Others,398955.0,2025-07-29T00:00:00.000Z,2025.0,0.0,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,,Pralhad Venkatesh Joshi,,DHARWAD,Completed,398955,2025-07-29T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
133309.0,6a932bb5cd94452437a1b162,Karnataka,Karnataka,DHARWAD,DHARWAD,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Normal/Others,Normal/Others,495031.0,2025-10-28T00:00:00.000Z,2025.0,0.0,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,,Pralhad Venkatesh Joshi,,DHARWAD,Completed,495031,2025-10-28T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
133312.0,6a932bb5cd94452437a16586,Karnataka,Karnataka,DHARWAD,DHARWAD,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Normal/Others,Normal/Others,498091.0,2025-06-09T00:00:00.000Z,2025.0,0.0,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,,Pralhad Venkatesh Joshi,,DHARWAD,Completed,498091,2025-06-09T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
136725.0,6a932bb5cd94452437a1cf75,Karnataka,Karnataka,BANGALORE SOUTH,BANGALORE SOUTH,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),Normal/Others,Normal/Others,496984.0,2026-04-18T00:00:00.000Z,2026.0,0.0,"Construction of classroom at the Government Higher Primary School in Lakya Village, Chikkamagaluru District, Karnataka.","Construction of classroom at the Government Higher Primary School in Lakya Village, Chikkamagaluru District, Karnataka.",,Shri LS Tejasvi Surya ,,BANGALORE SOUTH,Completed,496984,2026-04-18T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
140804.0,6a932bb5cd94452437a1841e,Karnataka,Karnataka,BANGALORE RURAL,BANGALORE RURAL,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),Normal/Others,Normal/Others,1000000.0,2025-11-03T00:00:00.000Z,2025.0,0.0,"Construction of New Building, Vividhodesha Prarthamika Grameena Krushi Sahakara Sangha at Thagachakere Village, Kasaba Hobli, Channapatana Taluk, Ramanagara Disrtrict.","Construction of New Building, Vividhodesha Prarthamika Grameena Krushi Sahakara Sangha at Thagachakere Village, Kasaba Hobli, Channapatana Taluk, Ramanagara Disrtrict.",,DR C N MANJUNATH,,BANGALORE RURAL,Completed,1000000,2025-11-03T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
141427.0,6a932bb5cd94452437a175e7,Karnataka,Karnataka,BANGALORE SOUTH,BANGALORE SOUTH,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Normal/Others,Normal/Others,499500.0,2025-03-18T00:00:00.000Z,2025.0,0.0,"Purchase of Furniture for Government Higher Primary School located in Sunkenahalli, Hanumantanagar Ward, Basavanagudi Assembly Constituency, Bengaluru South","Purchase of Furniture for Government Higher Primary School located in Sunkenahalli, Hanumantanagar Ward, Basavanagudi Assembly Constituency, Bengaluru South",,Shri LS Tejasvi Surya ,,BANGALORE SOUTH,Completed,499500,2025-03-18T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
144765.0,6a932bb5cd94452437a18418,Karnataka,Karnataka,DHARWAD,DHARWAD,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Normal/Others,Normal/Others,495320.0,2025-05-31T00:00:00.000Z,2025.0,0.0,Construction of Community Bhavan at Dharwad TQ Kyarkoppa village Pry No 48 near Kalmeshwar Temple Countinue work,Construction of Community Bhavan at Dharwad TQ Kyarkoppa village Pry No 48 near Kalmeshwar Temple Countinue work,,Pralhad Venkatesh Joshi,,DHARWAD,Completed,495320,2025-05-31T00:00:00.000Z,,,,,,,,,,,,Community Centers & Halls,Social Infrastructure
145655.0,6a932bb5cd94452437a17f13,Karnataka,Karnataka,BANGALORE RURAL,BANGALORE RURAL,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),Normal/Others,Normal/Others,500000.0,2025-09-04T00:00:00.000Z,2025.0,0.0,"Construction of bus-sheds or bus-stops at Kurubarahalli (Pete), Bilagumba Grama Panchayath, Kasaba Hobli, Ramanagara Taluk and District, Karnataka","Construction of bus-sheds or bus-stops at Kurubarahalli (Pete), Bilagumba Grama Panchayath, Kasaba Hobli, Ramanagara Taluk and District, Karnataka",,DR C N MANJUNATH,,BANGALORE RURAL,Completed,500000,2025-09-04T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
145724.0,6a932bb5cd94452437a1c8fd,Karnataka,Karnataka,BANGALORE RURAL,BANGALORE RURAL,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Normal/Others,Normal/Others,499204.0,2026-01-20T00:00:00.000Z,2026.0,0.0,"Construction of bus-sheds or bus-stops at Indlawadi Circle, Idlawadi Grama Panchayath, Anekal Taluk, Bangalore Urban District, Karnataka","Construction of bus-sheds or bus-stops at Indlawadi Circle, Idlawadi Grama Panchayath, Anekal Taluk, Bangalore Urban District, Karnataka",,DR C N MANJUNATH,,BANGALORE RURAL,Completed,499204,2026-01-20T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
145728.0,6a932bb5cd94452437a1c8fa,Karnataka,Karnataka,BANGALORE RURAL,BANGALORE RURAL,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),Normal/Others,Normal/Others,499204.0,2026-01-20T00:00:00.000Z,2026.0,0.0,"Construction of bus-sheds or bus-stops at Telagarahalli Village,  Vanakanahalli Grama Panchayath, Anekal Taluk, Bangalore Urban District.","Construction of bus-sheds or bus-stops at Telagarahalli Village,  Vanakanahalli Grama Panchayath, Anekal Taluk, Bangalore Urban District.",,DR C N MANJUNATH,,BANGALORE RURAL,Completed,499204,2026-01-20T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
