work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
142382.0,6a932bb5cd94452437a1be1f,Kerala,Kerala,PATHANAMTHITTA,PATHANAMTHITTA,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Normal/Others,Normal/Others,221132.0,2025-12-16T00:00:00.000Z,2025.0,0.0,Providing 8 Meter LED Mini Mast Light at Adichippuzha Panampara Colony (ST),Providing 8 Meter LED Mini Mast Light at Adichippuzha Panampara Colony (ST),,Anto Antony,,PATHANAMTHITTA,Completed,221132,2025-12-16T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
142392.0,6a932bb5cd94452437a1c0c7,Kerala,Kerala,PATHANAMTHITTA,PATHANAMTHITTA,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Normal/Others,Normal/Others,218788.0,2025-12-22T00:00:00.000Z,2025.0,0.0,"Providing 8 Meter LED Mini Mast Light at Juma Masjid, Kummannoor in Aruvappulam Grama Panchayat.","Providing 8 Meter LED Mini Mast Light at Juma Masjid, Kummannoor in Aruvappulam Grama Panchayat.",,Anto Antony,,PATHANAMTHITTA,Completed,218788,2025-12-22T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
142394.0,6a932bb5cd94452437a1d51f,Kerala,Kerala,PATHANAMTHITTA,PATHANAMTHITTA,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Normal/Others,Normal/Others,218788.0,2026-02-27T00:00:00.000Z,2026.0,0.0,Providing 8 Meter LED Mini Mast Light at Kottampara ST Colony in Aruvappulam Grama Panchayat. (ST),Providing 8 Meter LED Mini Mast Light at Kottampara ST Colony in Aruvappulam Grama Panchayat. (ST),,Anto Antony,,PATHANAMTHITTA,Completed,218788,2026-02-27T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
142407.0,6a932bb5cd94452437a1c264,Kerala,Kerala,PATHANAMTHITTA,PATHANAMTHITTA,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Normal/Others,Normal/Others,219831.0,2025-12-28T00:00:00.000Z,2025.0,0.0,Providing 8 Meter LED Mini Mast Light at  Perumkoickal Colony  in Eandimangalam Grama Panchayat (SC),Providing 8 Meter LED Mini Mast Light at  Perumkoickal Colony  in Eandimangalam Grama Panchayat (SC),,Anto Antony,,PATHANAMTHITTA,Completed,219831,2025-12-28T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
142409.0,6a932bb5cd94452437a1c268,Kerala,Kerala,PATHANAMTHITTA,PATHANAMTHITTA,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Normal/Others,Normal/Others,219831.0,2025-12-28T00:00:00.000Z,2025.0,0.0,Providing 8 Meter LED Mini Mast Light at Vellarankunnu SC Colony  in Ezhamkulam Grama Panchayat (SC),Providing 8 Meter LED Mini Mast Light at Vellarankunnu SC Colony  in Ezhamkulam Grama Panchayat (SC),,Anto Antony,,PATHANAMTHITTA,Completed,219831,2025-12-28T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
142692.0,6a932bb5cd94452437a1a6a7,Kerala,Kerala,ERNAKULAM,ERNAKULAM,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Normal/Others,Normal/Others,352070.0,2025-09-26T00:00:00.000Z,2025.0,0.0,"Purchase of 10 Laptops for St.marys AIHS, Fortkochi","Purchase of 10 Laptops for St.marys AIHS, Fortkochi",,Shri Hibi Eden,,ERNAKULAM,Completed,352070,2025-09-26T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
142694.0,6a932bb5cd94452437a1a6a3,Kerala,Kerala,ERNAKULAM,ERNAKULAM,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Normal/Others,Normal/Others,70414.0,2025-09-26T00:00:00.000Z,2025.0,0.0,"Purchase of 2 Laptops for St.Peters LP School, Kumbalangy","Purchase of 2 Laptops for St.Peters LP School, Kumbalangy",,Shri Hibi Eden,,ERNAKULAM,Completed,70414,2025-09-26T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
142700.0,6a932bb5cd94452437a1a6a5,Kerala,Kerala,ERNAKULAM,ERNAKULAM,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Normal/Others,Normal/Others,140828.0,2025-09-26T00:00:00.000Z,2025.0,0.0,"Purchase of 4 Laptops for St.marys LP School, Chellanam","Purchase of 4 Laptops for St.marys LP School, Chellanam",,Shri Hibi Eden,,ERNAKULAM,Completed,140828,2025-09-26T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
142706.0,6a932bb5cd94452437a1ad12,Kerala,Kerala,ERNAKULAM,ERNAKULAM,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Normal/Others,Normal/Others,176035.0,2025-10-13T00:00:00.000Z,2025.0,0.0,Purchase of 5 Laptops for Govt.HSS Eloor,Purchase of 5 Laptops for Govt.HSS Eloor,,Shri Hibi Eden,,ERNAKULAM,Completed,176035,2025-10-13T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
143151.0,6a932bb5cd94452437a1ad11,Kerala,Kerala,ERNAKULAM,ERNAKULAM,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Normal/Others,Normal/Others,2196400.0,2025-10-13T00:00:00.000Z,2025.0,0.0,"Purchase of School bus For St.Marys UP School, West Cheranalloor","Purchase of School bus For St.Marys UP School, West Cheranalloor",,Shri Hibi Eden,,ERNAKULAM,Completed,2196400,2025-10-13T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
143934.0,6a932bb5cd94452437a1d3d9,Kerala,Kerala,IDUKKI,IDUKKI,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),Normal/Others,Normal/Others,2447960.0,2026-02-25T00:00:00.000Z,2026.0,0.0,"Purchasing of School Bus for Govt.L.P.School- Third Camp in PampadumparaGramapanchayathu ,Nedumkandom Block.","Purchasing of School Bus for Govt.L.P.School- Third Camp in PampadumparaGramapanchayathu ,Nedumkandom Block.",,Adv Dean Kuriakose,,IDUKKI,Completed,2447960,2026-02-25T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
144140.0,6a932bb5cd94452437a19a9a,Kerala,Kerala,IDUKKI,IDUKKI,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),Normal/Others,Normal/Others,215496.0,2025-08-22T00:00:00.000Z,2025.0,0.0,"Installation of Mini mast light ( 8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Pannoor Ambalam Jn. ,Ward 09 ,Karimannoor Panchayathu in  Elamdesham Block","Installation of Mini mast light ( 8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Pannoor Ambalam Jn. ,Ward 09 ,Karimannoor Panchayathu in  Elamdesham Block",,Adv Dean Kuriakose,,IDUKKI,Completed,215496,2025-08-22T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
144146.0,6a932bb5cd94452437a1c232,Kerala,Kerala,IDUKKI,IDUKKI,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),Normal/Others,Normal/Others,207949.0,2025-12-26T00:00:00.000Z,2025.0,0.0,"Installation of Minimast light at (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Paloorkkavu Jn. In Peruvanthanam GP Azutha Block","Installation of Minimast light at (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Paloorkkavu Jn. In Peruvanthanam GP Azutha Block",,Adv Dean Kuriakose,,IDUKKI,Completed,207949,2025-12-26T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
144149.0,6a932bb5cd94452437a19c07,Kerala,Kerala,IDUKKI,IDUKKI,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),Normal/Others,Normal/Others,207949.0,2025-08-26T00:00:00.000Z,2025.0,0.0,"Installation of Minimast light (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Ezhalloor Temple Junction, Kumaramangalam Panchayath, Thodupuzha Block .","Installation of Minimast light (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Ezhalloor Temple Junction, Kumaramangalam Panchayath, Thodupuzha Block .",,Adv Dean Kuriakose,,IDUKKI,Completed,207949,2025-08-26T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
144151.0,6a932bb5cd94452437a1c211,Kerala,Kerala,IDUKKI,IDUKKI,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),Normal/Others,Normal/Others,207949.0,2025-12-26T00:00:00.000Z,2025.0,0.0,"Installation of Minimast light (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Kanayankavayal, Peruvanthanam G.P, Azhutha Block","Installation of Minimast light (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Kanayankavayal, Peruvanthanam G.P, Azhutha Block",,Adv Dean Kuriakose,,IDUKKI,Completed,207949,2025-12-26T00:00:00.000Z,,,,,,,,,,,,"Electricity, Lighting & Solar Energy",Physical Infrastructure
