work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
133905.0,6a932bb5cd94452437a16c9f,Madhya Pradesh,Madhya Pradesh,KHARGONE,KHARGONE,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Normal/Others,Normal/Others,250000.0,2026-03-17T00:00:00.000Z,2026.0,0.0,Construction of common work shed in village Bhopada at Salakhedi Road,Construction of common work shed in village Bhopada at Salakhedi Road,,Gajendra Singh Patel,,KHARGONE,Completed,250000,2026-03-17T00:00:00.000Z,,,,,,,,,,,,Roads & Pathways,Physical Infrastructure
135908.0,6a932bb5cd94452437a18aa0,Madhya Pradesh,Madhya Pradesh,KHANDWA,KHANDWA,BURHANPUR(District Collector Burhanpur_IDA),BURHANPUR(District Collector Burhanpur_IDA),Normal/Others,Normal/Others,100000.0,2025-07-03T00:00:00.000Z,2025.0,0.0,Purchase of books for students intellectual development at various schools of Burhanpur district,Purchase of books for students intellectual development at various schools of Burhanpur district,,Gyaneshwar Patil,,KHANDWA,Completed,100000,2025-07-03T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
135911.0,6a932bb5cd94452437a18a9f,Madhya Pradesh,Madhya Pradesh,KHANDWA,KHANDWA,BURHANPUR(District Collector Burhanpur_IDA),BURHANPUR(District Collector Burhanpur_IDA),Normal/Others,Normal/Others,100000.0,2025-07-03T00:00:00.000Z,2025.0,0.0,Purchase of books for students intellectual development at various schools of Burhanpur district,Purchase of books for students intellectual development at various schools of Burhanpur district,,Gyaneshwar Patil,,KHANDWA,Completed,100000,2025-07-03T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
135914.0,6a932bb5cd94452437a18aa2,Madhya Pradesh,Madhya Pradesh,KHANDWA,KHANDWA,BURHANPUR(District Collector Burhanpur_IDA),BURHANPUR(District Collector Burhanpur_IDA),Normal/Others,Normal/Others,100000.0,2025-07-03T00:00:00.000Z,2025.0,0.0,Purchase of books for students intellectual development at various schools of Burhanpur district,Purchase of books for students intellectual development at various schools of Burhanpur district,,Gyaneshwar Patil,,KHANDWA,Completed,100000,2025-07-03T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
135916.0,6a932bb5cd94452437a18aa4,Madhya Pradesh,Madhya Pradesh,KHANDWA,KHANDWA,BURHANPUR(District Collector Burhanpur_IDA),BURHANPUR(District Collector Burhanpur_IDA),Normal/Others,Normal/Others,100000.0,2025-07-03T00:00:00.000Z,2025.0,0.0,Purchase of books for students intellectual development at various schools of Burhanpur district,Purchase of books for students intellectual development at various schools of Burhanpur district,,Gyaneshwar Patil,,KHANDWA,Completed,100000,2025-07-03T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
137265.0,6a932bb5cd94452437a16c86,Madhya Pradesh,Madhya Pradesh,KHARGONE,KHARGONE,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Normal/Others,Normal/Others,500000.0,2025-07-08T00:00:00.000Z,2025.0,0.0,Construction of additional room existing building in village Panya,Construction of additional room existing building in village Panya,,Gajendra Singh Patel,,KHARGONE,Completed,500000,2025-07-08T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
137823.0,6a932bb5cd94452437a17abc,Madhya Pradesh,Madhya Pradesh,MANDSOUR,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Normal/Others,Normal/Others,100000.0,2025-08-21T00:00:00.000Z,2025.0,0.0,PURCHASE OF BOOKS IN SCHOOL LIBRARY,PURCHASE OF BOOKS IN SCHOOL LIBRARY,,Shri Sudheer Gupta ,,MANDSOUR,Completed,100000,2025-08-21T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
137825.0,6a932bb5cd94452437a17abe,Madhya Pradesh,Madhya Pradesh,MANDSOUR,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Normal/Others,Normal/Others,100000.0,2025-08-21T00:00:00.000Z,2025.0,0.0,PURCHASE OF BOOKS IN SCHOOL LIBRARY,PURCHASE OF BOOKS IN SCHOOL LIBRARY,,Shri Sudheer Gupta ,,MANDSOUR,Completed,100000,2025-08-21T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
137827.0,6a932bb5cd94452437a17ac0,Madhya Pradesh,Madhya Pradesh,MANDSOUR,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Normal/Others,Normal/Others,100000.0,2025-08-21T00:00:00.000Z,2025.0,0.0,PURCHASE OF BOOKS IN SCHOOL LIBRARY,PURCHASE OF BOOKS IN SCHOOL LIBRARY,,Shri Sudheer Gupta ,,MANDSOUR,Completed,100000,2025-08-21T00:00:00.000Z,,,,,,,,,,,,Education & School Infrastructure,Social Infrastructure
137829.0,6a932bb5cd94452437a17ac2,Madhya Pradesh,Madhya Pradesh,MANDSOUR,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Normal/Others,Normal/Others,100000.0,2025-08-21T00:00:00.000Z,2025.0,0.0,PURCHASE OF BOOKS,PURCHASE OF BOOKS,,Shri Sudheer Gupta ,,MANDSOUR,Completed,100000,2025-08-21T00:00:00.000Z,,,,,,,,,,,,Other Civil & Development Works,General Development & Maintenance
