work_id,_id,state,state_hi,district,district_hi,location,location_hi,category,category_hi,cost,completion_date,completion_year,beneficiaries,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,status,standard_cost,work_date,workId,estimated_cost,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,standard_category,sector
1845.0,,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),Normal/Others,Normal/Others,,,,,"Construction of CC Road and Side Drainage from Thalari Sreenivasulu House to Karremma Gudi and Surrounding Streets at Uyyalawada Village, Orvakal Mandal, Kurnool District.","Construction of CC Road and Side Drainage from Thalari Sreenivasulu House to Karremma Gudi and Surrounding Streets at Uyyalawada Village, Orvakal Mandal, Kurnool District.",,DR BYREDDY SHABARI,,NANDYAL,Recommended,500000,2026-01-07T00:00:00.000Z,1845.0,500000.0,Recommended,2026-01-07T00:00:00.000Z,2026.0,Lok Sabha,18.0,0.0,False,0.0,0.0,Roads & Pathways,Physical Infrastructure
1976.0,,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),Normal/Others,Normal/Others,,,,,"Construction of Cement Concrete (CC) Road from Thirupal Kallam to Karnakar Reddy Field at Chinna Kottala Village, Habitation of Bastipadu, Kallur Mandal, Kurnool District.","Construction of Cement Concrete (CC) Road from Thirupal Kallam to Karnakar Reddy Field at Chinna Kottala Village, Habitation of Bastipadu, Kallur Mandal, Kurnool District.",,DR BYREDDY SHABARI,,NANDYAL,Recommended,500000,2026-04-01T00:00:00.000Z,1976.0,500000.0,Recommended,2026-04-01T00:00:00.000Z,2026.0,Lok Sabha,18.0,0.0,False,0.0,0.0,Roads & Pathways,Physical Infrastructure
1359.0,,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,,,,,Providing internal CC Road from Rayachoti Acthamma House to Pasupuleti Venkata Subbamma house at Vadde Colony of H.Kothapalli GP of Rajampet Mandal.,Providing internal CC Road from Rayachoti Acthamma House to Pasupuleti Venkata Subbamma house at Vadde Colony of H.Kothapalli GP of Rajampet Mandal.,,Maddila Gurumoorthy,,TIRUPATI,Recommended,450000,2025-06-16T00:00:00.000Z,1359.0,450000.0,Recommended,2025-06-16T00:00:00.000Z,2025.0,Lok Sabha,18.0,0.0,False,0.0,0.0,Roads & Pathways,Physical Infrastructure
1740.0,,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,"EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)",Normal/Others,Normal/Others,,,,,"Development Works to Existing Community Building Near Ayyappa Swamy Temple, Tyagaraj Nagar, Gowtham Ghat, Rajamundry Municipality","Development Works to Existing Community Building Near Ayyappa Swamy Temple, Tyagaraj Nagar, Gowtham Ghat, Rajamundry Municipality",,Midhun Reddy,,RAJAMPET,Recommended,2000000,2025-10-31T00:00:00.000Z,1740.0,2000000.0,Recommended,2025-10-31T00:00:00.000Z,2025.0,Lok Sabha,18.0,0.0,False,0.0,0.0,Community Centers & Halls,Social Infrastructure
1412.0,,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,,,,,Providing water supply to SV Puram (Near Toll plaza) Ho SV Puram GP in Vadamalapeta Mandal.,Providing water supply to SV Puram (Near Toll plaza) Ho SV Puram GP in Vadamalapeta Mandal.,,Maddila Gurumoorthy,,TIRUPATI,Recommended,420000,2025-06-28T00:00:00.000Z,1412.0,420000.0,Recommended,2025-06-28T00:00:00.000Z,2025.0,Lok Sabha,18.0,0.0,False,0.0,0.0,Drinking Water Supply,Public Health & Basic Amenities
993.0,,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),Normal/Others,Normal/Others,,,,,"4. Development of CC Road from Chakali Anjaneyudu House to Pinjari Moulali House in Chinnatekur Village, Kallur Mandal
Enhancing intra-village connectivity and improving access for local residents, promoting ease of travel","4. Development of CC Road from Chakali Anjaneyudu House to Pinjari Moulali House in Chinnatekur Village, Kallur Mandal
Enhancing intra-village connectivity and improving access for local residents, promoting ease of travel",,DR BYREDDY SHABARI,,NANDYAL,Recommended,500000,2024-12-26T00:00:00.000Z,993.0,500000.0,Recommended,2024-12-26T00:00:00.000Z,2024.0,Lok Sabha,18.0,0.0,False,0.0,0.0,Roads & Pathways,Physical Infrastructure
1923.0,,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,,,,,"Providing RO Water Plant  in Ponnavolu Village, P.Kothapalli G.P","Providing RO Water Plant  in Ponnavolu Village, P.Kothapalli G.P",,Midhun Reddy,,RAJAMPET,Recommended,300000,2026-02-28T00:00:00.000Z,1923.0,300000.0,Recommended,2026-02-28T00:00:00.000Z,2026.0,Lok Sabha,18.0,0.0,False,0.0,0.0,Drinking Water Supply,Public Health & Basic Amenities
264906.0,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN(Implementing District Authority(N&MA)),NORTH AND MIDDLE ANDAMAN(Implementing District Authority(N&MA)),Normal/Others,Normal/Others,,,,,Construction of 04 class rooms and 02 toilet blocks (Pre fabricated model - Tata steel model) for VKV ZP at Kishorinagar Diglipur Tehsil,Construction of 04 class rooms and 02 toilet blocks (Pre fabricated model - Tata steel model) for VKV ZP at Kishorinagar Diglipur Tehsil,,BISHNU PADA RAY,,ANDAMAN AND NICOBAR ISLANDS,Recommended,5203000,2026-02-02T00:00:00.000Z,264906.0,5203000.0,Recommended,2026-02-02T00:00:00.000Z,2026.0,Lok Sabha,18.0,0.0,False,0.0,0.0,"Health, Sanitation & Public Hygiene",Public Health & Basic Amenities
1403.0,,Andhra Pradesh,Andhra Pradesh,ANAKAPALLE,ANAKAPALLE,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,,,,,"Providing of RCC Drain near apartment (RTPP Main road), in Potladurthy village of Yerraguntla Mandal.","Providing of RCC Drain near apartment (RTPP Main road), in Potladurthy village of Yerraguntla Mandal.",,C.M.RAMESH,,ANAKAPALLE,Recommended,998255,2025-06-27T00:00:00.000Z,1403.0,998255.0,Recommended,2025-06-27T00:00:00.000Z,2025.0,Lok Sabha,18.0,0.0,False,0.0,0.0,Roads & Pathways,Physical Infrastructure
304502.0,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS(Implementing District Authority(SA)),SOUTH ANDAMANS(Implementing District Authority(SA)),Normal/Others,Normal/Others,,,,,"Con.of Kitchen shed and store room in premises of community hall at Mathura, Brindabhan","Con.of Kitchen shed and store room in premises of community hall at Mathura, Brindabhan",,BISHNU PADA RAY,,ANDAMAN AND NICOBAR ISLANDS,Recommended,1475787,2026-08-17T00:00:00.000Z,304502.0,1475787.0,Recommended,2026-08-17T00:00:00.000Z,2026.0,Lok Sabha,18.0,0.0,False,0.0,0.0,Community Centers & Halls,Social Infrastructure
