workId,state,state_hi,district,district_hi,location,location_hi,category,category_hi,estimated_cost,status,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency,standard_cost,work_date,rec_dt,aging_days
1359,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,450000,Recommended,Recommended,2025-06-16T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Providing internal CC Road from Rayachoti Acthamma House to Pasupuleti Venkata Subbamma house at Vadde Colony of H.Kothapalli GP of Rajampet Mandal.,Providing internal CC Road from Rayachoti Acthamma House to Pasupuleti Venkata Subbamma house at Vadde Colony of H.Kothapalli GP of Rajampet Mandal.,,Maddila Gurumoorthy,,TIRUPATI,450000,2025-06-16T00:00:00.000Z,2025-06-16 00:00:00+00:00,442
1412,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,420000,Recommended,Recommended,2025-06-28T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Providing water supply to SV Puram (Near Toll plaza) Ho SV Puram GP in Vadamalapeta Mandal.,Providing water supply to SV Puram (Near Toll plaza) Ho SV Puram GP in Vadamalapeta Mandal.,,Maddila Gurumoorthy,,TIRUPATI,420000,2025-06-28T00:00:00.000Z,2025-06-28 00:00:00+00:00,430
993,Andhra Pradesh,Andhra Pradesh,NANDYAL,NANDYAL,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2024-12-26T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,"4. Development of CC Road from Chakali Anjaneyudu House to Pinjari Moulali House in Chinnatekur Village, Kallur Mandal
Enhancing intra-village connectivity and improving access for local residents, promoting ease of travel","4. Development of CC Road from Chakali Anjaneyudu House to Pinjari Moulali House in Chinnatekur Village, Kallur Mandal
Enhancing intra-village connectivity and improving access for local residents, promoting ease of travel",,DR BYREDDY SHABARI,,NANDYAL,500000,2024-12-26T00:00:00.000Z,2024-12-26 00:00:00+00:00,614
1403,Andhra Pradesh,Andhra Pradesh,ANAKAPALLE,ANAKAPALLE,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,998255,Recommended,Recommended,2025-06-27T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Providing of RCC Drain near apartment (RTPP Main road), in Potladurthy village of Yerraguntla Mandal.","Providing of RCC Drain near apartment (RTPP Main road), in Potladurthy village of Yerraguntla Mandal.",,C.M.RAMESH,,ANAKAPALLE,998255,2025-06-27T00:00:00.000Z,2025-06-27 00:00:00+00:00,431
1430,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,498015,Recommended,Recommended,2025-07-06T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Formation of Road Takkalo R and B Road to Burial Grounds in Tokkolu Village and GP,Formation of Road Takkalo R and B Road to Burial Grounds in Tokkolu Village and GP,,Midhun Reddy,,RAJAMPET,498015,2025-07-06T00:00:00.000Z,2025-07-06 00:00:00+00:00,422
909,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),Normal/Others,Normal/Others,1483285,Recommended,Recommended,2024-11-12T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,Construction of 1000 mm dia 4 Row RCC pipe Culvert in Km 0/0 to 0/2 in Approach Road to Iskapalli in Griddalur GP of Sydapuram Mandal.,Construction of 1000 mm dia 4 Row RCC pipe Culvert in Km 0/0 to 0/2 in Approach Road to Iskapalli in Griddalur GP of Sydapuram Mandal.,,Maddila Gurumoorthy,,TIRUPATI,1483285,2024-11-12T00:00:00.000Z,2024-11-12 00:00:00+00:00,658
1251,Andhra Pradesh,Andhra Pradesh,VIZIANAGARAM,VIZIANAGARAM,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2025-04-19T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Providing R.O. Water Plant at Yadavakunta Village,Gotur Panchayat,Thondur Mandal in YSR Cuddpah District","Providing R.O. Water Plant at Yadavakunta Village,Gotur Panchayat,Thondur Mandal in YSR Cuddpah District",,Appalanaidu Kalisetti,,VIZIANAGARAM,500000,2025-04-19T00:00:00.000Z,2025-04-19 00:00:00+00:00,500
228040,Andaman And Nicobar Islands,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,NICOBARS(DEPUTY COMMISSIONER NICOBAR_IDA),NICOBARS(DEPUTY COMMISSIONER NICOBAR_IDA),Normal/Others,Normal/Others,3200000,Recommended,Recommended,2025-08-21T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Purchase and supply of 5 KL Septic tank suction truck for cleaning of septic tanks of Tribals in Car Nicobar,Purchase and supply of 5 KL Septic tank suction truck for cleaning of septic tanks of Tribals in Car Nicobar,,BISHNU PADA RAY,,ANDAMAN AND NICOBAR ISLANDS,3200000,2025-08-21T00:00:00.000Z,2025-08-21 00:00:00+00:00,376
1410,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,300000,Recommended,Recommended,2025-06-28T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Providing Internal CC Road from Obulapu Lakshmi Narasamma House to Meda Venu Gopal Reddy House at Medavaripalli of H. Kothapalli GP of Rajampet Mandal.,Providing Internal CC Road from Obulapu Lakshmi Narasamma House to Meda Venu Gopal Reddy House at Medavaripalli of H. Kothapalli GP of Rajampet Mandal.,,Maddila Gurumoorthy,,TIRUPATI,300000,2025-06-28T00:00:00.000Z,2025-06-28 00:00:00+00:00,430
1428,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,90000,Recommended,Recommended,2025-07-06T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Providing Try Motorised Battery Scooter to R Sahadeva Reddy, Koolivandlapalli Village Jangamvandlapalli GP  Mob 9000859785","Providing Try Motorised Battery Scooter to R Sahadeva Reddy, Koolivandlapalli Village Jangamvandlapalli GP  Mob 9000859785",,Midhun Reddy,,RAJAMPET,90000,2025-07-06T00:00:00.000Z,2025-07-06 00:00:00+00:00,422
