work_id,state,district,item_type,detected_quantity,unit,total_project_cost_inr,calculated_unit_price_inr,work_description
264906,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Classroom,4.0,per room,5203000.0,1300750.0,Construction of 04 class rooms and 02 toilet blocks (Pre fabricated model - Tata steel model) for VKV ZP at Kishorinagar Diglipur Tehsil
1847,Andhra Pradesh,NANDYAL,RO Water Plant,500.0,per LPH capacity,300000.0,600.0,"Providing and installation of 500 LPH capacity Water Purification Plant with necessary accessories at S C P B Zilla Parishad High School, Melluru Village, Biccavolu Mandal."
224539,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Medical / Welfare Vehicle,1.0,per vehicle,2000000.0,2000000.0,Purchase and supply of 01 No. Hearse Van for transportation of deceased bodies in Car Nicobar
264905,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Classroom,4.0,per room,4856000.0,1214000.0,Construction of 04 class rooms and 02 toilet blocks (pre fabricated TATA steel model) for VKV ZP School at South Creek Sunderghar GP Rangat
224539,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Medical / Welfare Vehicle,1.0,per vehicle,2000000.0,2000000.0,Purchase and supply of 01 No. Hearse Van for transportation of deceased bodies in Car Nicobar
264905,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Classroom,4.0,per room,4856000.0,1214000.0,Construction of 04 class rooms and 02 toilet blocks (pre fabricated TATA steel model) for VKV ZP School at South Creek Sunderghar GP Rangat
224539,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Medical / Welfare Vehicle,1.0,per vehicle,2000000.0,2000000.0,Purchase and supply of 01 No. Hearse Van for transportation of deceased bodies in Car Nicobar
264905,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Classroom,4.0,per room,4856000.0,1214000.0,Construction of 04 class rooms and 02 toilet blocks (pre fabricated TATA steel model) for VKV ZP School at South Creek Sunderghar GP Rangat
223958,Andhra Pradesh,KURNOOL,RO Water Plant,1000.0,per LPH capacity,500000.0,500.0,Providing 1000 LPH RO Plant at Kurnool Bustand in Kurnool Town.
223960,Andhra Pradesh,KURNOOL,RO Water Plant,1000.0,per LPH capacity,500000.0,500.0,Providing 1000 LPH RO Plant 2 at Kurnool Bustand in Kurnool Town.
223962,Andhra Pradesh,KURNOOL,RO Water Plant,1000.0,per LPH capacity,500000.0,500.0,Providing 1000 LPH RO Plant at Yemmiganur Bustand
223966,Andhra Pradesh,KURNOOL,RO Water Plant,1000.0,per LPH capacity,500000.0,500.0,Providing 1000 LPH RO Plant at Pattikonda Bustand.
264905,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Classroom,4.0,per room,4856000.0,1214000.0,Construction of 04 class rooms and 02 toilet blocks (pre fabricated TATA steel model) for VKV ZP School at South Creek Sunderghar GP Rangat
223958,Andhra Pradesh,KURNOOL,RO Water Plant,1000.0,per LPH capacity,500000.0,500.0,Providing 1000 LPH RO Plant at Kurnool Bustand in Kurnool Town.
223960,Andhra Pradesh,KURNOOL,RO Water Plant,1000.0,per LPH capacity,500000.0,500.0,Providing 1000 LPH RO Plant 2 at Kurnool Bustand in Kurnool Town.
223962,Andhra Pradesh,KURNOOL,RO Water Plant,1000.0,per LPH capacity,500000.0,500.0,Providing 1000 LPH RO Plant at Yemmiganur Bustand
223966,Andhra Pradesh,KURNOOL,RO Water Plant,1000.0,per LPH capacity,500000.0,500.0,Providing 1000 LPH RO Plant at Pattikonda Bustand.
264905,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Classroom,4.0,per room,4856000.0,1214000.0,Construction of 04 class rooms and 02 toilet blocks (pre fabricated TATA steel model) for VKV ZP School at South Creek Sunderghar GP Rangat
295051,Andhra Pradesh,ANAKAPALLE,RO Water Plant,1000.0,per LPH capacity,600000.0,600.0,Providing 1000 LPH RO Water plant with shed at Chukkapalle Village of Cheedikada Mandal
