work_id,_id,mp_id,mp_name,house,state,constituency,work_category,ida,work_description,recommendation_date,recommended_amount,status,has_payments,total_paid,payment_count,ls_term
248293,6a932bb5cd94452437a32027,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),Tree and crops plantation on a degraded mining land.,2026-03-26T00:00:00.000Z,,completed,,,,
227148,6a932bb5cd94452437a31da1,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,KOHIMA(DEPUTY COMMISIONER_7),The construction of toilet facility at Ruzhukhrie government school would provide clean and accessible toilet facilities ensuring comfort and hygiene for the students.,2026-03-13T00:00:00.000Z,,completed,,,,
249134,6a932bb5cd94452437a31da0,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"The construction of this CRSM drain will greatly benefit the locality as it serves as the primary outlet for stormwater and wastewater from the main bazaar, improving drainage and reducing flooding risks.",2026-03-13T00:00:00.000Z,,completed,,,,
225203,6a932bb5cd94452437a3190c,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Wangkhao College, the only government college in the district catering to approximately six hundred students has acute shortage of water supply in the campus. Hence, the construction of bore well and installation of a filtration system will help facilitate the supply of proper drinking water to the faculty and students",2026-03-11T00:00:00.000Z,,completed,,,,
239079,6a932bb5cd94452437a31ba8,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Construction of proper footpath,  at Tanlao ward, Mon Town will benefit over 300 house hold living in the area and its adjacent Douglas colony for better accessibility and connection to the rest of the town.",2026-03-11T00:00:00.000Z,,completed,,,,
249157,6a932bb5cd94452437a31da6,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),Expansion of existing volleyball court into a full football ground in which the community can use for any kind of event such as sports and cultural programme.,2026-03-10T00:00:00.000Z,,completed,,,,
251286,6a932bb5cd94452437a31daa,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Construction of a Footsteps pathway, staircase measuring approximately 220, 250 meters in length. The proposed pathway will connect the Circular Road This pathway will significantly improve accessibility for residents and government employees, and drastically reduced the inconvenient faced by the elderly, School-going Children, and differently-abled individuals who find it challenging to navigate the uneven and unsafe terrain especially during monsoon within Tompang Ward, Mon Town.",2026-03-10T00:00:00.000Z,,completed,,,,
249159,6a932bb5cd94452437a31da7,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Construction of a Footsteps pathway measuring approximately 220 to 250 meters in length. The proposed pathway will connect the Circular Road near SIB office, located adjacent to the Assam Rifle Camp, to the Old Government Quarters of the Agriculture Department. The work includes. Site clearing and levelling, Construction of concrete footsteps steps along the identified gradient. Installation of side drainage necessary. Providing proper finishing for safe pedestrian movement.",2026-03-10T00:00:00.000Z,,completed,,,,
266721,6a932bb5cd94452437a320e7,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Construction of footpath over drainage at sonari road NH below DC hill will be convenient for all the public as being a busiest traffic road the footpath will also served as safety for the people on foot. Modern footpaths benefit vulnerable groups like the elderly, children, people with disabilities using ramps, smooth surfaces, adequate width. This supports equitable. Drainage systems rarely provide such direct social inclusion",2026-03-10T00:00:00.000Z,,completed,,,,
227312,6a932bb5cd94452437a31ade,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),installation of Solar power grid at Oting Village will ensure continuous supply of power to the villages. This will also help the villagers to continue with their economic activity during night time and access to clean energy.,2026-03-10T00:00:00.000Z,,completed,,,,
227942,6a932bb5cd94452437a31b1d,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),Solar power grid at Lower Tiru and Upper Tiru will ensure continuous supply of power to this two villages. it will also help the villagers to continue with their economic activity during night time and access to clean energy,2026-03-10T00:00:00.000Z,,completed,,,,
227941,6a932bb5cd94452437a31b1c,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),Solar power grid at Lower Tiru and Upper Tiru will ensure continuous supply of power to this two villages. it will also help the villagers to continue with their economic activity during night time and access to clean energy,2026-03-10T00:00:00.000Z,,completed,,,,
246829,6a932bb5cd94452437a31da4,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Shangnyu Village is approximately 18 kilometers from district headquarter Mon, Nagaland and it has a population of around 1850. As describe and witness the village are lack of development which include sports infrastructure, therefore as demanded by the village head and youth leaders, the village will be provided with the construction of Concrete Pavilion at the village local ground which will be very helpful for the community in sports and for various gathering.",2026-03-06T00:00:00.000Z,,completed,,,,
249141,6a932bb5cd94452437a31da5,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Construction of work sheds for the public under Tanlao ward, Mon Town is much need of the hour for the benefits to lots of carpenters, it can be utilized as a work place as well as for the safe storage and more over for the unemployed youth as an institution to learn carpentry on the local level",2026-03-06T00:00:00.000Z,,completed,,,,
229712,6a932bb5cd94452437a31da3,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,Noklak(Deputy Commissioner Noklak_IDA),"Heritage Home Stay is the only Govt. registration Home stay in Noklak District. it has been drowning its service since 2021. it is in need of major repairing of the roof, ceiling and electrification to provide better service to the people.",2026-03-05T00:00:00.000Z,,completed,,,,
230254,6a932bb5cd94452437a31b92,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Providing the sports equipments to Mon District Athletics Association will help the young athletes in various field of sports, as the association has 9 trained Technical Official with no support, if the proper equipments are being provided the organisation can guide and mould the youths of Mon District.",2026-03-02T00:00:00.000Z,,completed,,,,
251266,6a932bb5cd94452437a32140,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,TUENSANG(Deputy Commissioner Tuensang_IDA),"Approach road to nangke yatong park, and connection of link road by fresh cutting of earth. This  project will help for the development of public park which will be a recreational place for any visitor to the village. It will get hold for all  overview of Neighbouring village.",2026-03-02T00:00:00.000Z,,completed,,,,
239054,6a932bb5cd94452437a31b89,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),Organising Sansad Khel Mahotsav under PM Modi in the 17 district of Nagaland at Village level to district level. which will uplift the sport talent across the State to participate in the national and International level as well.,2026-03-02T00:00:00.000Z,,completed,,,,
251284,6a932bb5cd94452437a31da9,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Construction of Medium scale stormwater, wastewater drainage system with open RCC drains will benefits. prevents water accumulation that leads to water logging and soil erosion. prevent contamination of drinking water sources by keeping sewage and waste water separate from clean water, prevents soil erosion.",2026-03-01T00:00:00.000Z,,completed,,,,
239108,6a932bb5cd94452437a31dd7,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA),"The Construction of boundary wall of existing community building at Luyong, Molungyimsen which will served as a protection to the public property and as a boundary to avoid land encroachment.",2026-03-01T00:00:00.000Z,,completed,,,,
251322,6a932bb5cd94452437a31dab,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Bellow DC hill located at Chingai ward, can be connected Jahjoh Ward to NH road Chingai ward with the construction of Staircase and footpath, which include of earth excavation. it will benefits women, children, senior citizens and school going students to take as shortcut path.",2026-02-28T00:00:00.000Z,,completed,,,,
225208,6a932bb5cd94452437a31939,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"The connecting road of the lower lane caters to hundreds of households and is the only road link has not been repaired for more than a decade. The construction of this road at Daily market will help the people, especially students of the locality in their daily commute",2026-02-27T00:00:00.000Z,,completed,,,,
249163,6a932bb5cd94452437a31da8,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),"Shantham ward located in Mon Town, Mon District with the population of around 1800, the construction of Drainage cum Footsteps 300 meter length in order to control float from rain water and wastewater as well as for the convenient shortcut footsteps  from ADC road to Govt. Higher Secondary School, Mon Town -C, which will be much help and convenient for the students",2026-02-27T00:00:00.000Z,,completed,,,,
227934,6a932bb5cd94452437a31b8b,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,DIMAPUR(DEPUTY COMMISSIONER DIMAPUR_IDA),"The music school at Dimapur need to be upgraded by providing musical instruments, as the enrolment is growing. This will help nurture young talents in and around Dimapur and music lovers from across the state.",2026-02-25T00:00:00.000Z,,completed,,,,
230257,6a932bb5cd94452437a31d4f,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,TUENSANG(Deputy Commissioner Tuensang_IDA),"Water Reservoir tank is very important for the colony where there are more than 100 house hold. Therefore, construction of water tank size of 50x50 reservoir in the ward is a need of the hour, where the peoples depend on it.",2026-02-20T00:00:00.000Z,,completed,,,,
231940,6a932bb5cd94452437a31b39,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,Tseminyu(Deputy Commissioner Tseminyu_IDA),"Construction of Marketing Shed at Nsunyu Village is a very need of the hours for the people of Tseminyu district , as being a fast growing semi-urban Town, requires essential infrastructure to support sustainable livelihood and ensure the welfare of its resident and travellers. this initiative will not only uplift the scio-economic of the people but also set a model for rural development in the region.",2026-02-20T00:00:00.000Z,,completed,,,,
227311,6a932bb5cd94452437a31ba7,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA),"Providing Musical instrument to the community would be much help for the youth of Luyong villager of Tuli so that their involvement in the field of Art, culture and music at the same time can improved and polish the talented youth.",2026-02-08T00:00:00.000Z,,completed,,,,
133826,6a932bb5cd94452437a30936,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),Construction of Approach Road,2026-01-30T00:00:00.000Z,,completed,,,,
133822,6a932bb5cd94452437a309c5,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),Construction of Drainage below Vinngoi,2026-01-30T00:00:00.000Z,,completed,,,,
202323,6a932bb5cd94452437a3141a,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),Construction of Road from Chingai Ward Junction to DIC Office Mon,2026-01-20T00:00:00.000Z,,completed,,,,
250935,6a932bb5cd94452437a31f57,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,Chumoukedima(Deputy Commissioner Chumoukedima_IDA),"The Chakhroma Wrestling Meet is one of the most prominent traditional sporting events in Chumukedima Village under Chumukedima District. it brings all the athletes, youth together and spectator from across Nagaland. the upcoming edition holds special significance as it aims to promote Indigenous Naga Wrestling and also highlight traditional belt, which is global recognition. therefore, under MPLADS the Wrestling Mat will be provided to uplift and push the athletic for the Asian Games.",2026-01-17T00:00:00.000Z,,completed,,,,
248292,6a932bb5cd94452437a31f52,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,MON(Deputy Commissioner Mon_IDA),Mobile Libraries for Mon District in order to upliftment and development of Konyak dialect.,2026-01-17T00:00:00.000Z,,completed,,,,
225205,6a932bb5cd94452437a31bd4,6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Normal/Others,PHEK(Deputy Commissioner Phek_IDA),The construction of waste management unit at khezhakeno village will help the villagers to dispose the waste accumulated in the village in a scientific way. This will help keep the environment clean and healthy.,2026-01-14T00:00:00.000Z,,completed,,,,
