_id,amountNorm,year,description,description_hi,mp_id,mp_name,mp_house,mp_constituency,mp_state
6a92250551d80220bcd115b8,32562250.0,2026,Purchase of hospital equipment,Purchase of hospital equipment,,,,,
6a932b82cd94452437a11bfd,31900000.0,2025,Setting up of laboratories,Setting up of laboratories,,Smt. Nirmala Sitharaman (2022-28),,Sitting Rajya Sabha,Karnataka
6a932b82cd94452437a1656f,30593876.0,2025,"Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)",,Shri Derek O' Brien (2023-29),,Sitting Rajya Sabha,West Bengal
6a932b82cd94452437a1656b,28983672.0,2025,"Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)",,Shri Samirul Islam (2023-29),,Sitting Rajya Sabha,West Bengal
6a932b82cd94452437a1656d,27373468.0,2025,"Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)",,Ms. Dola Sen (2023-29),,Sitting Rajya Sabha,West Bengal
6a932b82cd94452437a116c2,21078330.0,2025,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",,Shri Raghav Chadha (2022-28),,Sitting Rajya Sabha,Punjab
6a92250551d80220bcd00e89,20786350.0,2026,Lighting of public spaces,Lighting of public spaces,,,,,
6a932b82cd94452437a125c1,19596132.0,2026,Purchase of books and periodicals for libraries/digitization of library books,Purchase of books and periodicals for libraries/digitization of library books,,Shri Nagendra Ray (2023-29),,Sitting Rajya Sabha,West Bengal
6a932b82cd94452437a1656c,19322448.0,2025,"Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)",,Smt. Sagarika Ghose (2024-30),,Sitting Rajya Sabha,West Bengal
6a92250551d80220bcd11ef1,18913181.0,2025,Providing CCTV camera system for security of public areas,Providing CCTV camera system for security of public areas,,,,,
6a932b82cd94452437a12624,18000000.0,2026,"Purchase of smart boards, visual display units and projectors","Purchase of smart boards, visual display units and projectors",,Shri Imran Pratapgarhi (2022-28),,Sitting Rajya Sabha,Maharashtra
6a932b82cd94452437a1656e,17712244.0,2025,"Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)",,Shri Mohammed Nadimul Haque (2024-30),,Sitting Rajya Sabha,West Bengal
6a92250551d80220bcd0dd8a,16912380.0,2024,"Purchase of ambulances (Four, three and two wheelers)","Purchase of ambulances (Four, three and two wheelers)",,,,,
6a932b82cd94452437a117a5,15528800.0,2025,"Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)",,Shri Samirul Islam (2023-29),,Sitting Rajya Sabha,West Bengal
6a932b82cd94452437a117b0,15528800.0,2025,"Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)",,Shri Derek O' Brien (2023-29),,Sitting Rajya Sabha,West Bengal
6a932b82cd94452437a12090,15070157.0,2025,Providing CCTV camera system for security of public areas,Providing CCTV camera system for security of public areas,,Dr. Sandeep Kumar Pathak (2022-28),,Sitting Rajya Sabha,Punjab
6a932b82cd94452437a10510,15000000.0,2026,Construction of community centers and community halls,Construction of community centers and community halls,,Smt. Nirmala Sitharaman (2022-28),,Sitting Rajya Sabha,Karnataka
