id,mpName,house,state,constituency,party,criminal_cases,education,total_assets_raw,total_assets_inr,liabilities_raw,liabilities_inr,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completionRate,unspentAmount
6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,206563957.11,196418200.0,95.09,57,20,74.03,10145757.11
6a932b5bcd944524379edf65,Shri Arun Kumar Sagar ,Lok Sabha,Uttar Pradesh,SHAHJAHANPUR,BJP,0,12th Pass,"Rs 5,83,17,453 ~ 5 Crore+",58317453.0,"Rs 25,21,626 ~ 25 Lacs+",2521626.0,147000000.0,138723000.0,94.37,4,3,57.14,8277000.0
6a932b5bcd944524379edf3a,S SUPONGMEREN JAMIR,Lok Sabha,Nagaland,NAGALAND,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,138150000.0,93.98,38,18,67.86,8850000.0
6a932b5bcd944524379edfbf,VIJAYLAKSHMI DEVI,Lok Sabha,Bihar,SIWAN,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,134748616.0,91.67,95,87,52.2,12251384.0
6a932b5bcd944524379edf97,Smt Veena Devi ,Lok Sabha,Bihar,VAISHALI,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,131108889.0,89.19,30,29,50.85,15891111.0
6a932b5ecd944524379ee2ba,Smt. Darshana Singh (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196994373.87,174994106.0,88.83,31,16,65.96,22000267.87
6a932b5ecd944524379ee266,Shri Mithlesh Kumar (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196063957.11,170753928.0,87.09,195,9,95.59,25310029.11
6a932b5ecd944524379ee2cd,Smt. Sangeeta Yadav (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196063957.11,169940841.0,86.68,43,78,35.54,26123116.11
6a932b5ecd944524379ee2bb,Smt. Geeta alias Chandraprabha (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196063957.11,169877016.35,86.64,210,37,85.02,26186940.76
6a932b5ecd944524379ee221,Shri B.L. Verma (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196063957.11,168937264.09,86.16,350,64,84.54,27126693.02
6a932b5ecd944524379ee2d2,Smt. Sumitra Balmik (2022-28),Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196063957.11,163767349.0,83.53,62,116,34.83,32296608.11
6a932b5bcd944524379edde4,Ashok Kumar Rawat,Lok Sabha,Uttar Pradesh,MISRIKH,BJP,0,Post Graduate,"Rs 12,96,70,318 ~ 12 Crore+",129670318.0,"Rs 2,48,61,056 ~ 2 Crore+",24861056.0,147000000.0,121139986.0,82.41,2,3,40.0,25860014.0
6a932b5ecd944524379ee249,Shri Javed Ali Khan (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196063957.11,160977854.28,82.1,125,68,64.77,35086102.83
6a932b5ecd944524379ee28a,Shri Ramji (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,174518577.11,141923083.0,81.32,154,91,62.86,32595494.11
