house,cand_id,candidate_name,constituency,party,criminal_cases,education,total_assets_raw,total_assets_num,liabilities_raw,liabilities_num
Lok Sabha,2408,Aashtikar Patil Nagesh Bapurao,HINGOLI,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,"Rs 8,05,85,824 ~ 8 Crore+",80585824.0,"Rs 88,67,236 ~ 88 Lacs+",8867236.0
Lok Sabha,7591,Abdul Rashid Sheikh,BARAMULLA,IND,3,Graduate,"Rs 1,56,37,424 ~ 1 Crore+",15637424.0,"Rs 14,42,558 ~ 14 Lacs+",1442558.0
Lok Sabha,1702,Abhay Kumar Sinha,AURANGABAD,RJD,16,12th Pass,"Rs 10,77,18,589 ~ 10 Crore+",107718589.0,"Rs 4,78,01,483 ~ 4 Crore+",47801483.0
Lok Sabha,7912,Abhijit Gangopadhyay,TAMLUK,BJP,0,Graduate Professional,"Rs 4,62,55,624 ~ 4 Crore+",46255624.0,"Rs 50,77,654 ~ 50 Lacs+",5077654.0
Lok Sabha,9008,Abhishek Banerjee,DIAMOND HARBOUR,AITC,2,Post Graduate,"Rs 2,32,64,563 ~ 2 Crore+",23264563.0,"Rs 36,00,000 ~ 36 Lacs+",3600000.0
Lok Sabha,3377,Abu Taher Khan,MURSHIDABAD,AITC,3,10th Pass,"Rs 3,84,76,131 ~ 3 Crore+",38476131.0,Rs 0 ~,0.0
Lok Sabha,7933,Adhikari Deepak (Dev),GHATAL,AITC,0,Others,"Rs 37,13,47,069 ~ 37 Crore+",371347069.0,"Rs 2,86,03,907 ~ 2 Crore+",28603907.0
Lok Sabha,7922,Adhikari Soumendu,KANTHI,BJP,6,Post Graduate,"Rs 2,61,79,993 ~ 2 Crore+",26179993.0,"Rs 2,87,970 ~ 2 Lacs+",287970.0
Lok Sabha,3084,Adv Adoor Prakash,ATTINGAL,INC,13,Graduate Professional,"Rs 18,09,33,863 ~ 18 Crore+",180933863.0,"Rs 3,68,02,602 ~ 3 Crore+",36802602.0
Lok Sabha,6007,Adv Gowaal Kagada Padavi,NANDURBAR (ST),INC,0,Post Graduate,"Rs 7,01,70,431 ~ 7 Crore+",70170431.0,"Rs 78,17,614 ~ 78 Lacs+",7817614.0
