state,district_nodal,total_works,completed_works_count,recommended_works_count,completion_rate_pct,completed_works_value_inr,in_progress_payments_inr,mp_count,mps_active,constituencies_covered,primary_sector
West Bengal,SOUTH 24 PARGANAS,193,193,0,100.0,0.0,0.0,4,"BAPI HALDAR, Pratima Mondal , SAYANI GHOSH, Shri Abhishek Banerjee","DIAMOND HARBOUR, JADAVPUR, JOYNAGAR, MATHURAPUR",Normal/Others
Bihar,PATNA,191,191,0,100.0,0.0,0.0,7,"Dr. Bhim Singh (2024-30), Dr. Dharmshila Gupta (2024-30), Dr. Faiyaz Ahmad (2022-28), Ravi Shankar Prasad, Shri Akhilesh Prasad Singh (2024-30), Shri Khiru Mahto (2022-28), Shri Shambhu Sharan Patel (2022-28)","PATNA SAHIB, Sitting Rajya Sabha",Normal/Others
Jharkhand,RANCHI,179,179,0,100.0,0.0,0.0,6,"KALI CHARAN MUNDA, SUKHDEO BHAGAT, Sanjay Seth , Shri Aditya Prasad (2022-28), Shri Pradip Kumar Varma (2024-30), Smt. Mahua Maji (2022-28)","KHUNTI, LOHARDAGA, RANCHI, Sitting Rajya Sabha",Normal/Others
Karnataka,BENGALURU URBAN,159,159,0,100.0,0.0,0.0,8,"DR C N MANJUNATH, DR.K.SUDHAKAR, P C Mohan, SHOBHA KARANDLAJE, Shri G.C. Chandrashekhar (2024-30), Shri Jaggesh (2022-28), Shri LS Tejasvi Surya , Shri Narayanasa K. Bhandage (2024-30)","BANGALORE CENTRAL, BANGALORE NORTH, BANGALORE RURAL, BANGALORE SOUTH, CHIKBALLAPUR, Sitting Rajya Sabha",Normal/Others
Kerala,MALAPPURAM,155,155,0,100.0,0.0,0.0,9,"DR. M.P ABDUSSAMAD SAMADANI, Dr. John Brittas (2021-27), E.T. MOHAMMED BASHEER, Priyanka Gandhi Vadra, Shri Abdul Wahab (2021-27), Shri Haris Beeran (2024-30), Shri P. P. Suneer (2024-30), Smt. Jebi Mather Hisham (2022-28), Smt. P. T. Usha (2022-28)","MALAPPURAM, Nominated Rajya Sabha, PONNANI, Sitting Rajya Sabha, WAYANAD",Normal/Others
Uttar Pradesh,JAUNPUR,150,150,0,100.0,0.0,0.0,6,"BABU SINGH KUSHWAHA, PRIYA SAROJ, Shri Brij Lal (2020-26), Shri Javed Ali Khan (2022-28), Shri Kapil Sibal (2022-28), Smt. Seema Dwivedi (2020-26)","JAUNPUR, MACHHLISHAHR, Sitting Rajya Sabha",Normal/Others
West Bengal,HOOGHLY,140,140,0,100.0,0.0,0.0,4,"BAG MITALI, Kalyan Banerjee, RACHNA BANERJEE, Smt. Mamata Thakur (2024-30)","ARAMBAG, HOOGHLY, SREERAMPUR, Sitting Rajya Sabha",Normal/Others
Bihar,MADHUBANI,136,136,0,100.0,0.0,0.0,7,"Ashok Kumar Yadav , Dr. Bhim Singh (2024-30), Dr. Dharmshila Gupta (2024-30), Dr. Faiyaz Ahmad (2022-28), Ramprit Mandal, Shri Sanjay Kumar Jha (2024-30), Shri Shambhu Sharan Patel (2022-28)","JHANJHARPUR, MADHUBANI, Sitting Rajya Sabha",Normal/Others
Uttar Pradesh,KUSHINAGAR,126,126,0,100.0,0.0,0.0,4,"SHASHANK MANI, Shri Ratanjit Pratap Narain Singh (2024-30), Smt. Sangeeta Yadav (2022-28), Vijay Kumar Dubey","DEORIA, KUSHI NAGAR, Sitting Rajya Sabha",Normal/Others
Kerala,KANNUR,126,126,0,100.0,0.0,0.0,8,"Dr. John Brittas (2021-27), Dr. V. Sivadasan (2021-27), Shri Abdul Wahab (2021-27), Shri Kumbakudi Sudhakaran, Shri Rajmohan Unnithan , Shri Sandosh Kumar P (2022-28), Smt. Jebi Mather Hisham (2022-28), Smt. P. T. Usha (2022-28)","KANNUR, KASARAGOD, Nominated Rajya Sabha, Sitting Rajya Sabha",Normal/Others
