state,totalAllocated,totalExpenditure,utilizationPercentage,mpCount,totalMPs,totalWorksCompleted,completedWorksCount,recommendedWorksCount
Nagaland,353563957.11,334568200.0,94.62734910388785,2,2,95,95,38
Sikkim,302174649.22,189944460.0,62.85916455609413,2,2,123,123,114
Meghalaya,294000000.0,167625000.0,57.01530612244898,3,3,228,228,364
Mizoram,171500000.0,96361729.0,56.1875970845481,2,2,134,134,132
Arunachal Pradesh,343000000.0,186067486.0,54.24708046647231,3,3,220,220,75
Manipur,343000000.0,178812355.0,52.131881924198254,3,3,36,36,59
Uttar Pradesh,17782562208.78,9084381745.89,51.08589886672606,111,111,10242,10242,13702
Jharkhand,2980597994.9300003,1344560548.0,45.110429191964116,19,19,986,986,4617
Bihar,8513486680.34,3837977377.0,45.08114619904149,55,55,3826,3826,3763
Tamil Nadu,8451737150.57,3640967347.0,43.07951468597727,58,58,3593,3593,3294
Punjab,3137546001.45,1345689469.67,42.88987218189301,19,19,1989,1989,3089
Himachal Pradesh,1033386998.44,442699967.03999996,42.839707457931965,7,7,721,721,1833
Madhya Pradesh,5926218108.370001,2378494782.12,40.13512055455215,40,40,2637,2637,5975
Chhattisgarh,2458511981.39,982102154.5,39.947015183742835,16,16,1057,1057,1609
Assam,2794428071.33,897919902.44,32.132510822246275,21,21,227,227,2504
West Bengal,7837496151.29,2311560606.38,29.493610736887348,53,53,2391,2391,3516
Tripura,416500000.0,119108040.0,28.597368547418967,3,3,38,38,93
Karnataka,6238559383.33,1780799482.0,28.545043375854668,42,42,1304,1304,4588
Rajasthan,5139829373.26,1394546482.1100001,27.13215519108744,35,35,1301,1301,2911
Puducherry,502250828.6,135216881.0,26.922181766610624,2,2,44,44,132
Gujarat,5047467459.47,1354568281.0,26.836592645259643,35,35,3094,3094,6251
Uttarakhand,1304873590.51,336932180.0,25.82105902444639,8,8,351,351,1088
Lakshadweep,153942460.41,39337535.0,25.553401508090133,1,1,2,2,26
Telangana,3948212720.37,939576667.0,23.797518866003482,23,23,2347,2347,3703
Jammu And Kashmir,1232837429.22,285760712.0,23.17910741733377,10,10,508,508,736
Andhra Pradesh,5545336679.2,1276868591.0,23.025988589464834,37,37,1460,1460,2840
Goa,465500000.0,101670731.99000001,21.84118839742213,3,3,58,58,228
Haryana,2117454264.0,454020391.0,21.441803901933064,15,15,461,461,1703
Kerala,5242313388.1,1111510025.0,21.202662693213206,31,31,1258,1258,4567
Maharashtra,9522796648.27,1925034620.0,20.215013415725092,67,67,1175,1175,4529
Odisha,4509427388.71,710976097.0,15.766438523437165,31,31,1551,1551,5161
Chandigarh,325351443.75,40195152.0,12.354379478606509,2,2,35,35,101
Delhi,1682994118.1100001,195581552.0,11.621047863176004,11,11,243,243,482
Andaman And Nicobar Islands,147000000.0,15498347.0,10.543093197278912,1,1,0,0,27
Ladakh,161114542.0,6009392.0,3.729888019667399,1,1,0,0,55
The Dadra And Nagar Haveli And Daman And Diu,392063957.0,0.0,0.0,2,2,0,0,63
