mp_id,mp_name,house,state,constituency,allocated_amount,total_expenditure,utilization_percentage,unspent_amount,completed_works_count,recommended_works_count,completed_works_value,in_progress_payments,payment_gap_percentage,last_updated
6a932b5ecd944524379ee2ca,Smt. S. Phangnon Konyak (2022-28),Rajya Sabha,Nagaland,Sitting Rajya Sabha,206563957.11,196418200.0,95.0883216743388,10145757.110000014,57,20,144763000.0,51655200.0,26.298581292364965,2026-08-31T17:50:45.002Z
6a932b5ecd944524379ee2ba,Smt. Darshana Singh (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,196994373.87,174994106.0,88.83203238864154,22000267.870000005,31,16,139851228.0,35142878.0,20.082320943997967,2026-08-31T17:49:28.321Z
6a932b5bcd944524379edf3a,S SUPONGMEREN JAMIR,Lok Sabha,Nagaland,NAGALAND,147000000.0,138150000.0,93.9795918367347,8850000.0,38,18,88600000.0,49550000.0,35.86681143684401,2026-08-31T17:50:45.088Z
6a932b5bcd944524379edfbf,VIJAYLAKSHMI DEVI,Lok Sabha,Bihar,SIWAN,147000000.0,134748616.0,91.66572517006804,12251384.0,95,87,90543755.0,44204861.0,32.80542859156342,2026-08-31T17:50:45.122Z
6a932b5bcd944524379edf97,Smt Veena Devi ,Lok Sabha,Bihar,VAISHALI,147000000.0,131108889.0,89.18972040816327,15891111.0,30,29,93983889.0,37125000.0,28.31615787698422,2026-08-31T17:50:45.121Z
6a932b5bcd944524379edf65,Shri Arun Kumar Sagar ,Lok Sabha,Uttar Pradesh,SHAHJAHANPUR,147000000.0,138723000.0,94.36938775510204,8277000.0,4,3,97143000.0,41580000.0,29.9734002292338,2026-08-31T17:50:45.123Z
6a932b5ecd944524379ee266,Shri Mithlesh Kumar (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,196063957.11,170753928.0,87.09093222279502,25310029.110000014,195,9,143813928.0,26940000.0,15.777089473455629,2026-08-31T17:50:45.141Z
6a932b5ecd944524379ee249,Shri Javed Ali Khan (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,196063957.11,160977854.28,82.10476655313283,35086102.83000001,125,68,101806791.0,59171063.28,36.75726921858434,2026-08-31T17:50:45.151Z
6a932b5ecd944524379ee2d2,Smt. Sumitra Balmik (2022-28),Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,196063957.11,163767349.0,83.52751388574684,32296608.110000014,62,116,76039991.0,87727358.0,53.568283626548784,2026-08-31T17:50:45.162Z
6a932b5ecd944524379ee2bb,Smt. Geeta alias Chandraprabha (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,196063957.11,169877016.35,86.64367426527659,26186940.76000002,210,37,161572422.35,8304594.0,4.888591863945814,2026-08-31T17:50:45.168Z
